route_ref,highway_type,lanes,maxspeed_kmh,length_km,midpoint_lat,midpoint_lon
15,motorway,,,0.034,29.40496,34.99012
15,motorway,,,0.09,29.4181,34.99333
15,motorway,,,0.037,29.45471,34.98898
15,motorway,,,2.032,29.39763,34.98002
15,motorway,,,0.269,29.45592,34.98866
15,primary,,,0.915,29.47095,34.98285
15,primary,,,0.918,29.47175,34.9804
15,trunk,,,0.21,29.53877,35.01403
15,trunk,,,0.507,29.47027,34.98599
15,trunk,,,6.911,29.47498,35.06304
15,trunk,,,0.261,29.54283,35.13016
15,trunk,,,0.13,29.54438,35.13116
15,trunk,,,0.134,29.54434,35.13097
15,trunk,,,0.201,29.54495,35.13158
15,trunk,,,0.203,29.5463,35.13296
15,trunk,,,6.911,29.4763,35.06584
15,trunk,,,0.571,29.49903,35.08865
1;6,motorway,4,110.0,1.102,31.94299,34.93002
1;6,motorway,4,110.0,1.439,31.94314,34.92979
20,trunk,,,11.18,32.26302,35.6378
20,trunk,,,0.326,32.25109,35.60952
20,trunk,,,0.014,32.25077,35.60803
20,trunk,,,0.338,32.25121,35.60945
204,primary,2,80.0,0.019,30.88353,34.7941
204,primary,2,80.0,1.557,30.88965,34.81201
204,primary,2,80.0,0.862,30.89336,34.82007
204,primary,1,90.0,0.066,30.98958,34.91155
204,primary,1,90.0,0.083,30.99041,34.91167
204,primary,1,90.0,0.069,30.9896,34.91135
204,primary,1,90.0,0.064,30.99047,34.91183
204,primary,2,80.0,0.048,30.99802,34.94182
204,primary,2,80.0,0.652,30.99531,34.92062
204,primary,2,80.0,0.06,30.99327,34.91628
204,primary,2,80.0,5.284,30.96535,34.89569
204,primary,2,80.0,0.328,30.99259,34.91471
204,primary,2,80.0,0.054,30.99354,34.91683
204,primary,2,80.0,1.737,30.99658,34.92631
204,primary,2,90.0,0.043,30.99824,34.94237
204,primary,2,90.0,0.106,31.06584,35.00506
204,primary,1,90.0,0.012,31.06821,35.00651
204,primary,2,80.0,0.039,30.89672,34.82453
204,primary,2,80.0,4.675,30.90813,34.84143
204,primary,2,80.0,1.084,30.94309,34.87779
204,primary,1,80.0,0.009,30.99084,34.91194
204,primary,2,80.0,0.094,30.99118,34.91213
204,primary,2,80.0,0.083,30.99173,34.91271
204,primary,2,90.0,3.748,31.04631,34.98328
204,primary,2,90.0,0.011,31.05611,34.99888
204,primary,2,90.0,1.219,31.06305,35.00331
204,primary,1,90.0,0.013,31.06829,35.00661
204,primary,1,90.0,0.113,31.06768,35.00617
204,primary,1,90.0,0.031,31.06797,35.00635
204,primary,1,90.0,0.113,31.06756,35.00617
204,primary,1,90.0,0.03,31.06818,35.00657
204,primary,2,90.0,1.5,30.99897,34.94335
204,primary,2,90.0,0.009,31.00847,34.95287
204,primary,2,80.0,0.979,30.8871,34.79697
204,primary,2,80.0,2.158,30.93416,34.86487
204,primary,2,90.0,3.256,31.01386,34.95936
204,primary,2,90.0,0.036,31.06677,35.00564
204,primary,2,90.0,0.011,31.06669,35.00559
204,primary,2,80.0,0.294,30.98738,34.90998
204,primary,2,80.0,0.074,30.98704,34.90966
206,primary,,,2.677,30.93741,35.03385
206,primary,,,0.443,30.92302,35.02282
206,primary,,,0.622,30.91953,35.02021
206,primary,,,0.15,30.94554,35.03906
206,primary,,,3.517,30.98923,35.06368
206,primary,,,0.302,30.91478,35.01779
206,primary,,,3.75,30.96755,35.056
206,primary,,,0.1,30.95621,35.04369
206,primary,,,1.141,30.95075,35.03978
206,primary,,,0.027,31.01186,35.0787
206,primary,,,3.295,31.02849,35.09246
211,primary,2,80.0,1.535,30.89697,34.4298
211,primary,2,90.0,0.052,30.91343,34.5257
211,primary,2,90.0,0.344,30.91386,34.52723
211,primary,2,80.0,1.684,30.88182,34.40997
211,primary,2,90.0,7.006,30.90281,34.47548
211,primary,2,90.0,0.023,30.95655,34.67235
211,primary,2,90.0,3.214,30.95482,34.69557
211,primary,2,80.0,1.408,30.96997,34.72366
211,primary,2,80.0,0.023,30.96492,34.71583
211,primary,2,80.0,1.249,30.96295,34.71277
211,primary,2,90.0,8.395,30.9672,34.63428
211,primary,2,90.0,7.383,30.92274,34.56925
211,primary,2,90.0,0.353,30.91282,34.52377
211,primary,2,80.0,1.461,30.9002,34.43771
211,primary,2,80.0,0.493,30.88993,34.42096
211,primary,2,80.0,1.041,30.97591,34.73801
211,primary,2,80.0,0.04,30.97607,34.73839
211,primary,2,80.0,2.901,30.98472,34.75771
211,primary,2,80.0,0.025,30.99094,34.76272
22,motorway,3,90.0,0.6,32.8048,35.054
22,motorway,3,90.0,0.518,32.80498,35.0598
22,motorway,3,100.0,0.095,32.80995,35.07454
22,motorway,,100.0,0.027,32.80966,35.07438
222,primary,2,90.0,1.124,31.0112,34.77788
222,primary,2,80.0,1.309,31.18233,34.56015
222,primary,2,90.0,1.479,31.05125,34.7255
222,primary,2,80.0,0.038,31.02979,34.75004
222,primary,1,90.0,0.011,31.01023,34.78043
222,primary,1,90.0,0.028,31.01035,34.78014
222,primary,1,90.0,0.02,31.01026,34.7804
222,primary,1,90.0,0.011,31.01014,34.78048
222,primary,1,90.0,0.022,31.01021,34.78032
222,primary,1,90.0,0.031,31.0104,34.78019
222,primary,2,90.0,19.856,31.13035,34.62854
222,primary,2,80.0,3.386,31.04005,34.74063
222,primary,2,90.0,0.024,31.01615,34.76061
222,primary,2,90.0,1.341,31.02544,34.75142
222,primary,2,90.0,0.027,31.01608,34.76084
222,primary,2,80.0,3.759,31.20007,34.53854
222,primary,2,90.0,0.485,31.01769,34.75712
222,primary,2,90.0,0.041,31.0188,34.75624
222,primary,2,90.0,0.731,31.01522,34.76337
222,primary,2,90.0,0.044,31.01364,34.7683
222,primary,2,90.0,12.171,31.2283,34.47237
222,primary,2,80.0,3.759,31.20007,34.53854
224,primary,,90.0,4.682,31.00583,34.90338
224,primary,,90.0,0.053,30.99354,34.91683
224,primary,,90.0,1.627,31.06532,34.84854
224,primary,,90.0,0.144,31.05982,34.85322
224,primary,,90.0,0.138,31.0596,34.85318
224,primary,,90.0,0.076,31.05885,34.85342
224,primary,,90.0,0.039,31.0588,34.85334
224,primary,,90.0,0.008,31.05915,34.85328
224,primary,,90.0,0.032,31.05852,34.8534
224,primary,,90.0,0.014,31.06649,34.83856
224,primary,,90.0,0.019,31.06657,34.83889
224,primary,,90.0,0.014,31.06654,34.83909
224,primary,,90.0,0.032,31.06658,34.83873
224,primary,,90.0,0.037,31.06651,34.83883
224,primary,,90.0,0.014,31.06652,34.83841
224,primary,,90.0,4.98,31.04838,34.85606
225,primary,,,0.028,30.98886,34.91971
225,primary,,80.0,0.257,30.9841,34.95028
225,primary,,,0.102,30.94571,35.03886
225,primary,,,0.123,30.94528,35.03872
225,primary,,50.0,2.356,30.97833,34.96123
225,primary,1,50.0,8.354,30.95631,34.99108
225,primary,,,0.017,30.98709,34.931
225,primary,,,0.023,30.98559,34.93493
225,primary,,,0.016,30.98649,34.93257
225,primary,,,0.014,30.98866,34.92471
225,primary,,,0.057,30.98457,34.93693
225,primary,,,0.015,30.98655,34.93239
225,primary,,,0.015,30.98716,34.93113
225,primary,,,0.019,30.98436,34.93712
225,primary,,,0.072,30.9887,34.92005
225,primary,,,0.037,30.98864,34.92451
225,primary,,,0.019,30.98703,34.93119
