alert_rank_alltime,alert_rank_marapr2026,lat,lon,road,risk_score,lanes_weight,alerts_alltime_15km,alerts_marapr2026_15km,status,relocated_from_lat,relocated_from_lon,nearest_city,moved_km
76,73,32.86039,35.3055,805,2.0,1.0,15515,10959,rural,,,,
77,75,32.8103,35.25213,784,2.0,1.0,15402,10861,rural,,,,
78,78,32.78767,35.19806,79,1.8,1.5,15094,10494,rural,,,,
79,89,33.12173,35.56893,899,4.0,1.5,15063,8220,rural,,,,
80,79,31.79728,35.25749,1,1.5,2.0,14919,10394,relocated,31.92924,34.92749,ינון,34.39
81,83,32.80872,35.06728,4,4.0,1.5,14166,9701,rural,,,,
82,82,31.68714,35.00053,375,2.0,1.0,14164,10016,rural,,,,
83,81,31.68938,34.94521,38,1.8,1.5,14144,10109,rural,,,,
84,76,32.40955,34.90655,9,1.5,2.0,13954,10848,rural,,,,
85,84,32.85857,35.33651,805,2.5,1.5,13530,9612,relocated,32.86056,35.37656,משגב דב,3.74
86,98,33.11098,35.52242,899,4.0,1.5,13176,7320,rural,,,,
87,99,33.09348,35.55081,886,4.0,1.0,13088,7307,rural,,,,
88,90,33.05655,35.34288,899,4.0,1.5,12930,8191,rural,,,,
89,85,31.67995,34.89797,353,2.0,1.0,12924,9338,rural,,,,
90,93,33.0261,35.40521,899,4.0,1.5,12726,8054,relocated,33.06229,35.24535,גורן,15.41
91,86,32.92125,35.41999,85,4.0,1.5,12369,8325,rural,,,,
92,94,31.66082,34.64063,35,1.8,1.5,12212,7706,rural,,,,
93,88,32.76226,35.08886,70,4.0,1.5,12012,8227,rural,,,,
94,101,33.08612,35.47258,899,4.0,1.5,11944,7088,relocated,33.08542,35.48372,דישון,1.04
95,91,32.79094,35.03403,4,4.0,1.5,11928,8128,relocated,32.8803,35.09661,עין המפרץ,11.51
96,95,32.98325,35.44364,866,4.0,1.0,11624,7595,rural,,,,
97,100,31.66578,34.60655,35,1.8,1.5,11494,7093,rural,,,,
98,92,32.7664,35.2483,77,1.8,1.5,11429,8091,rural,,,,
99,102,33.06294,35.50491,886,4.0,1.0,11336,6887,rural,,,,
100,97,32.76584,35.05279,752,1.8,1.5,11069,7556,rural,,,,
101,103,33.02019,35.43926,89,4.0,1.5,10807,6850,rural,,,,
102,96,32.77303,35.28044,77,1.8,1.5,10629,7566,rural,,,,
103,87,32.4136,35.00844,9,1.5,2.0,10554,8249,rural,,,,
104,113,33.09738,35.64298,918,4.0,1.5,10549,5921,rural,,,,
105,108,33.05492,35.46496,899,4.0,1.5,9869,6191,rural,,,,
106,105,32.72371,35.05861,672,2.0,1.5,9832,6778,rural,,,,
107,106,32.73902,35.13676,762,2.0,1.5,9769,6770,rural,,,,
108,109,33.01771,35.47641,886,4.0,1.0,9707,6128,rural,,,,
109,107,32.7258,35.20244,77,1.8,1.5,8909,6265,rural,,,,
