lat,lon,road,risk_score,lanes_weight,nearby_alerts_15km,alert_rank
31.94308594072457,34.89703326001623,40,1.8,1.5,77348,1
31.956326092888315,34.932427457959754,443,1.8,1.5,76507,2
31.992751639388207,34.86861006659015,1,1.5,2.0,76439,3
31.95389895267376,34.85527648940719,44,1.8,2.5,75340,4
32.0166256,34.926612,46,1.8,1.0,75069,5
32.0346407,34.957967,465,2.0,1.5,73572,6
31.91302882440063,34.89070614158708,44,1.8,2.5,73543,7
32.06814693324196,34.935643620308596,471,1.5,2.0,73367,8
31.92923797540002,34.927488235537474,1,1.5,2.0,73309,9
32.04164339350598,34.94864403697986,6,1.5,1.5,72456,10
31.8923708,34.9191756,424,2.0,1.0,72389,11
32.06839206401847,34.90347858298609,40,1.8,1.5,72098,12
31.984085099954147,34.94938362728124,453,2.0,1.5,72076,13
32.05309012140236,34.94354161184395,444,2.0,1.5,71903,14
31.912253520296748,34.85686025460137,40,1.8,1.5,71842,15
31.9834824,34.9622899,6,1.5,1.5,71572,16
31.909973729138205,34.882862977256856,431,1.5,1.5,71400,17
32.02788930820734,34.87931894080527,461,2.0,1.5,71260,18
31.8622554,34.894654,44,1.8,2.5,70895,19
31.8659415,34.952257,424,2.0,1.0,70693,20
31.9238404,34.8405001,421,2.0,1.5,70427,21
31.8653449,34.9530996,424,2.0,1.0,70042,22
32.0968676,34.9014573,483,2.0,1.5,69435,23
31.984401840585537,34.8328839620562,44,1.8,2.5,67484,24
31.9477567,34.9640961,443,1.8,1.5,67380,25
31.9477025,34.9639463,443,1.8,1.5,67380,26
31.86891584679172,34.967730160217585,1,1.5,2.0,67219,27
31.847721500310076,34.86736489437123,6,1.5,1.5,67143,28
32.137546495472016,34.91479269499026,40,1.8,1.5,66939,29
31.927844498125214,34.828092583873435,431,1.5,1.5,66376,30
32.12225093804128,34.89096275586194,5,1.5,2.0,66298,31
32.0658234,34.8456447,471,1.5,2.0,65825,32
32.1061054,34.964074,5,1.5,2.0,65775,33
32.13914072915288,34.94178376141131,444,2.0,1.5,65510,34
32.0650653,34.8442283,471,1.5,2.0,64816,35
32.141879067031134,34.943845385145714,444,2.0,1.5,64628,36
32.1105148,34.8684177,4911,2.0,1.5,64187,37
32.1455712520984,34.95056971770853,531,1.5,1.5,63616,38
32.07485592457246,34.84362373983916,4,1.8,1.5,63595,39
32.0921744506942,34.86005448187934,481,2.0,2.0,63576,40
31.8954928,34.9948359,431,1.5,1.5,63566,41
31.83978988505241,34.85035618617226,411,2.0,1.5,63514,42
31.821000428418944,34.92329554166621,3,1.8,1.5,63497,43
31.8360213492937,34.783840426610936,40,1.8,1.5,63461,44
32.14058818363728,34.87288191689019,4,1.8,1.5,63109,45
31.8945922,34.9949889,431,1.5,1.5,62923,46
31.9158734,34.8169926,423,2.0,2.0,62385,47
31.998710333493378,34.819290577815984,412,2.0,1.5,62359,48
31.819907202449993,34.92177209787874,3,1.8,1.5,62234,49
31.9587301,34.8020987,441,2.0,2.0,62065,50
