rank,lat,lon,road,zone,composite_score,nearby_alerts_marapr2026,matched_route,matched_highway_type,road_speed_kmh,catchment_per_dir_km,aadt_normal,aadt_wartime,estimated_people_in_catchment,suggested_capacity,alert_seconds,lanes_weight,nearest_seg_dist_km
175,30.90461,34.49691,211,gaza,0.138,0,211,primary,90,7.5,8000,800,15.6,12,300,1.5,2.05
176,32.87232,35.54062,90,standard,0.1335,1983,90,trunk,80,6.67,9000,900,17.6,20,300,1.5,0.28
177,32.35022,35.00667,582,standard,0.1322,14477,582,primary,90,7.5,8000,800,15.6,12,300,1.5,0.12
178,30.8825,34.39305,primary,gaza,0.1253,0,primary,primary,80,6.67,8000,800,15.6,12,300,1.5,0.02
179,32.36079,34.86679,כביש החוף,standard,0.1247,13656,כביש החוף,motorway,90,7.5,8000,800,15.6,12,300,1.5,0.08
180,31.32146,34.88618,31,gaza,0.1237,1062,31,trunk,70,5.83,6500,650,12.7,12,300,1.5,0.01
181,31.69666,35.01068,עוקף בית שמש,standard,0.121,12387,עוקף בית שמש,primary,70,5.83,4000,400,7.8,6,300,1.5,0.05
182,32.68643,35.06666,672,standard,0.1192,4929,672,primary,50,4.17,8000,800,15.6,12,300,1.5,0.01
183,31.45936,34.91479,358,standard,0.1189,1527,358,primary,80,6.67,8000,800,15.6,12,300,1.0,0.53
184,32.70048,35.20778,דרך העמקים,standard,0.1172,5140,75,trunk,80,6.67,14000,1400,27.3,30,300,1.5,0.0
185,31.5361,34.92017,358,standard,0.1165,1527,358,primary,80,6.67,4000,400,7.8,6,300,1.0,0.11
186,32.8454,35.51626,90,standard,0.1163,1983,90,trunk,80,6.67,9000,900,17.6,20,300,1.5,0.04
187,32.38111,34.99238,581,standard,0.1157,12669,581,primary,60,5.0,4000,400,7.8,6,300,1.0,0.02
188,32.38041,34.90748,כביש חיפה רעננה,standard,0.1149,12584,כביש חיפה רעננה,trunk,90,7.5,8000,800,15.6,12,300,1.5,0.1
189,32.70974,34.95217,כביש החוף,standard,0.1117,2891,721,primary,80,6.67,8000,800,15.6,12,300,1.5,0.17
190,31.11922,34.81323,40,gaza,0.1101,1014,40,trunk,90,7.5,22000,2200,42.9,50,300,1.5,2.37
191,30.95655,34.67235,211,gaza,0.1096,0,211,primary,90,7.5,8000,800,15.6,12,300,1.5,0.0
192,32.75307,35.34331,754,standard,0.1061,3495,754,primary,80,6.67,8000,800,15.6,12,300,1.5,0.01
193,32.39689,34.92828,581,standard,0.1058,11583,581,primary,60,5.0,4000,400,7.8,6,300,1.0,0.12
194,32.395,34.87165,כביש החוף,standard,0.103,11283,כביש החוף,motorway,100,8.33,8000,800,15.6,12,300,1.5,0.05
195,32.36165,35.02999,574,standard,0.1019,11155,574,primary,80,6.67,8000,800,15.6,12,300,1.5,0.01
196,31.31604,34.91218,60,standard,0.1006,1287,60,trunk,90,7.5,16000,1600,31.2,30,300,1.5,0.14
197,32.67418,35.10376,כביש חוצה ישראל,standard,0.1002,4459,כביש חוצה ישראל,motorway,100,8.33,13000,1300,25.3,30,300,1.5,0.05
198,32.76387,35.37519,77,standard,0.0964,2598,77,trunk,90,7.5,19000,1900,37.1,30,300,1.5,0.07
199,31.50673,34.94324,358,standard,0.0946,1527,358,primary,80,6.67,8000,800,15.6,12,300,1.0,0.12
201,32.3855,35.01922,כביש חוצה ישראל,standard,0.0921,10091,כביש חוצה ישראל,motorway,120,10.0,13000,1300,25.4,30,300,1.5,0.08
202,30.96492,34.71583,211,gaza,0.0875,0,211,primary,80,6.67,8000,800,15.6,12,300,1.5,0.0
204,31.20745,34.89689,25,gaza,0.0836,1014,25,trunk,90,7.5,7000,700,13.7,12,300,1.5,0.29
206,31.67529,35.03189,367,standard,0.0819,8965,367,primary,80,6.67,8000,800,15.6,12,300,1.5,1.28
208,32.72877,35.32292,79,standard,0.076,2016,754,primary,80,6.67,8000,800,15.6,12,300,1.5,0.04
209,32.39496,35.04624,574,standard,0.0757,8287,574,primary,80,6.67,8000,800,15.6,12,300,1.5,0.0
210,32.41182,35.01958,9,standard,0.0753,8249,9,trunk,90,7.5,8000,800,15.6,12,300,2.0,0.04
211,31.34204,34.93297,60,standard,0.0751,273,60,trunk,90,7.5,16000,1600,31.2,30,300,1.5,0.0
212,31.00948,34.7797,40,gaza,0.0704,0,40,trunk,90,7.5,22000,2200,42.9,50,300,1.5,0.03
213,30.98717,34.76682,40,gaza,0.0663,0,40,trunk,80,6.67,22000,2200,42.9,50,300,1.5,0.01
214,31.27477,34.94342,31,standard,0.0642,1231,31,trunk,90,7.5,6500,650,12.7,12,300,1.5,0.0
215,32.70875,35.30998,דרך הציונות,standard,0.0608,2017,דרך הציונות,trunk,90,7.5,8000,800,15.6,12,300,1.5,0.15
217,32.45118,34.8932,כביש החוף,standard,0.0559,6118,כביש החוף,motorway,90,7.5,8000,800,15.6,12,300,1.5,0.03
219,32.75386,35.41108,65,standard,0.0539,580,65,trunk,90,7.5,24000,2400,46.8,50,300,1.5,0.07
220,32.45257,34.97321,65,standard,0.0534,5851,65,trunk,90,7.5,24000,2400,46.8,50,300,1.5,0.08
221,32.79894,35.52056,מנחם בגין,standard,0.0531,348,מנחם בגין,trunk,90,7.5,8000,800,15.6,12,300,2.0,0.01
222,31.06652,34.83841,40,gaza,0.0524,0,224,primary,90,7.5,8000,800,15.6,12,300,1.5,0.0
223,32.43746,35.02462,574,standard,0.0507,5557,574,primary,80,6.67,4000,400,7.8,6,300,1.5,0.1
224,32.78596,35.49496,מנחם בגין,standard,0.0503,348,77,trunk,90,7.5,19000,1900,37.1,30,300,2.0,0.0
226,32.6423,35.05813,672,standard,0.0472,2419,672,primary,80,6.67,8000,800,15.6,12,300,1.5,0.33
227,32.66137,35.23909,73,standard,0.0382,2013,73,trunk,90,7.5,8000,800,15.6,12,300,1.5,0.04
228,32.47901,34.95591,הים,standard,0.0357,3911,הים,primary,80,6.67,8000,800,15.6,12,300,1.5,0.01
230,32.45671,35.04691,האחווה,standard,0.0298,3267,611,primary,50,4.17,8000,800,15.6,12,300,1.5,0.01
231,32.50474,34.91422,כביש החוף,standard,0.027,2956,כביש החוף,motorway,110,9.17,8000,800,15.6,12,300,1.5,0.01
233,32.67574,35.29197,60,standard,0.0263,1122,60,trunk,90,7.5,16000,1600,31.2,30,300,1.5,0.05
235,32.48213,35.03479,כביש חוצה ישראל,standard,0.0243,2660,כביש חוצה ישראל,motorway,110,9.17,8000,800,15.6,12,300,1.5,0.03
236,32.64337,34.95866,כביש חיפה רעננה,standard,0.0213,662,כביש חיפה רעננה,trunk,90,7.5,8000,800,15.6,12,300,1.5,0.0
238,30.93868,34.78511,40,gaza,0.0191,0,40,trunk,90,7.5,22000,2200,42.9,50,300,1.5,0.0
240,31.1853,34.95695,25,standard,0.0163,442,25,trunk,90,7.5,7000,700,13.7,12,300,1.5,0.02
241,32.5173,34.99246,654,standard,0.0161,1768,653,primary,80,6.67,8000,800,15.6,12,300,1.0,0.0
242,32.77382,35.54631,שדרות אליעזר קפלן,standard,0.0144,0,שדרות אליעזר קפלן,trunk,60,5.0,8000,800,15.6,12,300,1.0,0.04
