rank,lat,lon,road,zone,composite_score,nearby_alerts_marapr2026,matched_route,matched_highway_type,road_speed_kmh,catchment_per_dir_km,aadt_normal,aadt_wartime,estimated_people_in_catchment,suggested_capacity,alert_seconds,lanes_weight,nearest_seg_dist_km
19,31.99181,34.85855,כביש ירושלים תל אביב,standard,0.4811,52692,כביש ירושלים תל אביב,motorway,110,9.17,13000,1300,25.4,30,300,2.0,0.03
20,32.95193,35.09089,גדוד 21,standard,0.4809,12418,גדוד 21,trunk,90,6.0,8000,800,12.5,12,240,1.5,0.02
21,31.98647,34.95076,444,standard,0.48,52565,444,primary,90,7.5,8000,800,15.6,12,300,1.5,0.1
22,32.0668,34.90258,כביש מכבית,standard,0.4798,52549,כביש מכבית,motorway,100,8.33,8000,800,15.6,12,300,2.0,0.05
23,31.86108,34.71304,4,standard,0.4755,34958,4,motorway,110,9.17,40000,4000,78.0,50,300,2.0,0.21
24,33.05705,35.32919,כביש הצפון,north,0.4742,9746,כביש הצפון,primary,80,5.33,8000,800,12.5,12,240,1.5,1.82
26,31.30964,34.4902,241,gaza,0.4716,109,241,primary,80,5.33,8000,800,12.5,12,240,1.5,0.1
27,31.89926,34.76249,42,standard,0.47,41140,42,trunk,90,7.5,8000,800,15.6,12,300,1.5,0.0
28,31.74148,34.64587,4,standard,0.4671,18384,4,trunk,90,7.5,40000,4000,78.0,50,300,2.0,0.05
29,32.11981,34.93939,444,standard,0.4655,50975,444,primary,80,6.67,8000,800,15.6,12,300,1.5,0.02
30,31.90034,34.73494,4,standard,0.465,39021,4,motorway,110,9.17,40000,4000,78.0,50,300,2.0,0.72
31,31.79509,34.68501,4,standard,0.4618,25358,4,trunk,90,7.5,40000,4000,78.0,50,300,2.0,0.02
32,31.71409,34.64351,232,standard,0.4574,14851,232,primary,80,5.33,7000,700,10.9,12,240,1.5,0.03
33,31.85984,34.95673,424,standard,0.4553,49866,424,primary,80,6.67,8000,800,15.6,12,300,1.0,0.04
34,32.01995,34.86071,412,standard,0.4551,49846,412,primary,80,6.67,8000,800,15.6,12,300,1.5,0.02
35,32.95786,35.26536,854,standard,0.4549,15756,854,primary,80,6.67,8000,800,15.6,12,300,1.5,0.82
36,31.69087,34.67899,3,standard,0.4515,15658,3,trunk,90,6.0,30000,3000,46.8,50,240,1.5,0.01
37,31.23149,34.35037,232,gaza,0.4512,0,232,primary,90,6.0,7000,700,10.9,12,240,1.5,0.1
38,31.95189,34.95546,443,standard,0.4511,49398,443,trunk,90,7.5,13000,1300,25.4,30,300,1.5,0.05
39,31.89262,34.96483,431,standard,0.451,49394,431,trunk,50,4.17,13000,1300,25.3,30,300,1.5,0.09
40,32.90668,35.16857,70,standard,0.4508,16845,70,trunk,90,7.5,20000,2000,39.0,30,300,1.5,0.02
41,32.1214,34.88804,חוצה שומרון,standard,0.4488,49150,חוצה שומרון,motorway,100,8.33,8000,800,15.6,12,300,2.5,0.03
42,31.70112,34.7106,3,standard,0.4476,18705,3,trunk,90,7.5,30000,3000,58.5,50,300,1.5,0.03
43,31.62693,34.58517,4,standard,0.4462,3157,4,trunk,90,6.0,40000,4000,62.4,50,240,2.0,0.06
45,31.31579,34.52636,234,gaza,0.4444,109,234,primary,80,5.33,8000,800,12.5,12,240,1.0,0.05
46,32.06529,34.84479,כביש מכבית,standard,0.4403,48224,כביש מכבית,motorway,100,8.33,8000,800,15.6,12,300,2.0,0.04
47,31.76356,34.82792,כביש חוצה ישראל,standard,0.4382,31956,כביש חוצה ישראל,motorway,110,9.17,8000,800,15.6,12,300,1.5,0.0
48,31.82874,34.6686,41,standard,0.4379,25000,41,trunk,90,7.5,8000,800,15.6,12,300,1.5,0.0
49,32.15547,34.93688,531,standard,0.4348,47623,531,motorway,100,8.33,8000,800,15.6,12,300,1.5,0.0
50,32.91307,35.09619,עוקף עכו,standard,0.4336,11993,עוקף עכו,trunk,90,7.5,8000,800,15.6,12,300,1.5,0.05
51,33.01828,35.33984,89,standard,0.4328,9934,89,trunk,50,3.33,9000,900,14.0,12,240,1.5,0.02
52,31.44527,34.57219,25,gaza,0.4309,620,25,trunk,80,5.33,7000,700,10.9,12,240,1.5,0.04
53,31.50966,34.58588,34,gaza,0.4286,1082,34,trunk,90,6.0,8500,850,13.3,12,240,1.5,0.06
54,33.1114,35.57259,90,north,0.4285,7954,90,trunk,90,6.0,9000,900,14.0,12,240,1.5,3.04
55,32.91472,35.22629,85,standard,0.4202,15064,85,trunk,90,7.5,15000,1500,29.2,30,300,1.5,1.21
56,32.87698,35.17761,70,standard,0.4169,16799,70,trunk,90,7.5,20000,2000,39.0,30,300,1.5,0.01
57,32.12648,34.85975,כביש גהה,standard,0.4168,45642,כביש גהה,trunk,90,7.5,18000,1800,35.1,30,300,2.0,0.08
58,31.47034,34.59295,34,gaza,0.4145,620,34,trunk,90,6.0,8500,850,13.3,12,240,1.5,1.0
59,32.97527,35.33861,864,standard,0.4129,12417,864,primary,80,6.67,8000,800,15.6,12,300,1.5,0.31
60,31.22312,34.50872,222,gaza,0.4103,0,234,primary,80,5.33,8000,800,12.5,12,240,1.5,3.14
61,31.53523,34.61384,232,gaza,0.4066,1562,232,primary,80,5.33,7000,700,10.9,12,240,1.5,0.29
62,31.9486,34.80306,431,standard,0.4054,41374,431,motorway,100,8.33,8000,800,15.6,12,300,1.5,0.0
63,33.0261,35.40521,89,standard,0.3973,8054,89,trunk,60,4.0,9000,900,14.0,12,240,1.5,0.41
64,33.04499,35.4276,899,standard,0.397,6933,899,primary,80,5.33,3500,350,5.5,6,240,1.0,0.0
65,31.42469,34.60171,25,gaza,0.3968,211,25,trunk,90,6.0,7000,700,10.9,12,240,1.5,0.03
66,31.653,34.66405,35,standard,0.3927,6017,35,trunk,90,6.0,11000,1100,17.2,20,240,1.5,0.0
67,31.20849,34.2876,232,gaza,0.3926,0,232,primary,80,5.33,7000,700,10.9,12,240,1.5,0.26
68,33.07267,35.5303,886,north,0.3925,7109,886,primary,60,4.0,8000,800,12.5,12,240,1.5,0.77
69,32.92466,35.29901,85,standard,0.3881,13536,854,primary,80,6.67,8000,800,15.6,12,300,1.5,0.01
70,32.90828,35.27578,784,standard,0.3791,13370,784,primary,80,6.67,8000,800,15.6,12,300,1.0,0.11
71,31.82584,34.95814,3,standard,0.3786,40881,3,trunk,90,7.5,30000,3000,58.5,50,300,1.5,0.1
72,32.19266,34.90919,554,standard,0.3785,41453,טשרניחובסקי,primary,80,6.67,8000,800,15.6,12,300,1.0,0.29
73,31.31762,34.60265,241,gaza,0.3784,0,241,primary,80,5.33,8000,800,12.5,12,240,1.5,0.18
74,31.99043,34.79803,4,standard,0.3748,41043,4,motorway,100,8.33,40000,4000,78.0,50,300,2.5,0.08
75,31.74875,34.88079,383,standard,0.368,28403,383,primary,80,6.67,8000,800,15.6,12,300,1.0,1.69
76,32.88962,35.25865,784,standard,0.3666,13342,784,primary,80,6.67,4000,400,7.8,6,300,1.0,0.08
77,33.0197,35.4405,89,standard,0.3657,6850,89,trunk,90,7.5,9000,900,17.6,20,300,1.5,0.09
78,33.0454,35.48964,886,standard,0.3656,5993,886,primary,80,6.67,8000,800,15.6,12,300,1.0,1.11
79,32.83996,35.11552,79,standard,0.3645,13505,79,trunk,90,7.5,18000,1800,35.1,30,300,1.5,0.66
80,32.8402,35.16247,70,standard,0.363,14475,70,trunk,90,7.5,20000,2000,39.0,30,300,1.5,0.03
81,31.57579,34.67754,352,gaza,0.357,2730,352,primary,80,5.33,8000,800,12.5,12,240,1.0,0.49
82,31.9594,34.75889,איילון דרום,standard,0.3567,34515,איילון צפון,motorway,70,5.83,8000,800,15.6,12,300,2.5,0.22
83,32.21118,34.88385,כביש חיפה רעננה,standard,0.3527,38631,כביש חיפה רעננה,trunk,90,7.5,8000,800,15.6,12,300,1.5,0.38
84,32.93669,35.37481,864,standard,0.3492,11270,864,primary,80,6.67,8000,800,15.6,12,300,1.0,0.03
85,32.02119,34.80573,השבעה,standard,0.3475,38052,השבעה,trunk,70,5.83,18000,1800,35.1,30,300,2.5,0.0
86,31.34626,34.64342,25,gaza,0.3457,0,25,trunk,90,6.0,7000,700,10.9,12,240,1.5,0.28
87,32.2298,34.9505,טארק עבד אל חי,standard,0.3432,37587,554,primary,80,6.67,8000,800,15.6,12,300,1.0,0.0
88,32.98496,35.44306,866,standard,0.3367,7595,866,primary,60,5.0,8000,800,15.6,12,300,1.0,0.05
89,32.86495,35.25615,805,standard,0.3365,12660,805,primary,80,6.67,4000,400,7.8,6,300,1.0,0.27
90,31.64134,34.73393,35,standard,0.3335,6284,35,trunk,90,6.0,11000,1100,17.2,20,240,1.5,0.97
91,31.67842,34.7653,40,standard,0.3334,10448,40,trunk,90,7.5,22000,2200,42.9,50,300,1.5,0.01
92,32.83423,35.21687,781,standard,0.3306,13745,primary,primary,80,6.67,8000,800,15.6,12,300,1.5,0.03
93,31.49421,34.69139,ארץ הביתרונות,gaza,0.3264,827,ארץ הביתרונות,primary,80,5.33,8000,800,12.5,12,240,1.0,0.0
94,31.81131,35.02971,כביש ירושלים תל אביב,standard,0.3254,35641,כביש ירושלים תל אביב,trunk,90,7.5,13000,1300,25.4,30,300,2.0,0.02
95,32.81752,35.07755,שדרות ההסתדרות,standard,0.3124,10161,שדרות ההסתדרות,trunk,90,7.5,18000,1800,35.1,30,300,1.5,0.01
96,32.89917,35.3715,804,standard,0.3114,11097,804,primary,80,6.67,8000,800,15.6,12,300,1.0,0.04
97,32.84198,35.26131,784,standard,0.3075,12248,784,primary,80,6.67,4000,400,7.8,6,300,1.0,0.05
98,31.69811,34.8157,כביש חוצה ישראל,standard,0.3052,13052,כביש חוצה ישראל,motorway,110,9.17,8000,800,15.6,12,300,1.5,0.24
99,32.98889,35.48344,89,standard,0.3023,5165,89,trunk,90,7.5,9000,900,17.6,20,300,1.5,0.01
100,32.86205,35.29968,הגליל,standard,0.3005,10887,805,primary,80,6.67,8000,800,15.6,12,300,1.5,0.02
101,31.32963,34.69991,25,gaza,0.2976,789,310,primary,90,7.5,8000,800,15.6,12,300,1.5,0.0
102,32.79927,35.10271,העצמאות,standard,0.2968,10828,העצמאות,primary,80,6.67,13000,1300,25.4,30,300,1.5,0.0
103,31.78693,35.01387,38,standard,0.2963,32451,38,trunk,90,7.5,14000,1400,27.3,30,300,1.5,0.41
104,32.79903,35.14345,כביש חוצה ישראל,standard,0.2955,11380,כביש חוצה ישראל,motorway,100,8.33,8000,800,15.6,12,300,1.5,0.33
105,32.92179,35.41765,806,standard,0.2903,8325,806,primary,80,6.67,8000,800,15.6,12,300,1.5,0.03
106,31.1493,34.60686,222,gaza,0.2897,0,222,primary,90,7.5,8000,800,15.6,12,300,1.5,2.95
107,31.59895,34.75393,40,gaza,0.2889,3183,40,trunk,50,4.17,22000,2200,42.9,50,300,1.5,0.12
108,33.00299,35.56556,90,standard,0.2885,4889,90,trunk,90,7.5,9000,900,17.6,20,300,1.5,0.18
109,32.8048,35.054,נתיבי המפרץ,standard,0.2857,8806,22,motorway,90,7.5,35000,3500,68.2,50,300,1.5,0.0
110,31.38327,34.72069,264,gaza,0.2776,0,264,primary,80,6.67,8000,800,15.6,12,300,1.5,0.0
111,31.44208,34.73386,293,gaza,0.2751,273,ארץ הביתרונות,primary,60,5.0,4000,400,7.8,6,300,1.5,0.0
112,32.86207,35.33649,804,standard,0.2746,9612,804,primary,80,6.67,8000,800,15.6,12,300,1.0,0.2
113,31.62023,34.76931,35,standard,0.2736,3110,35,trunk,90,7.5,11000,1100,21.4,20,300,1.5,0.0
114,32.04668,34.78355,איילון דרום,standard,0.2694,29500,איילון דרום,motorway,90,7.5,13000,1300,25.4,30,300,2.5,0.0
115,31.77691,35.04577,395,standard,0.2645,28965,395,primary,80,6.67,8000,800,15.6,12,300,1.5,0.12
116,32.83053,34.96672,ההגנה,standard,0.2605,4723,ההגנה,trunk,70,5.83,8000,800,15.6,12,300,1.5,0.1
117,32.80251,35.25323,784,standard,0.2582,10861,784,primary,80,6.67,8000,800,15.6,12,300,1.0,0.22
118,32.78423,35.07705,דשנים,standard,0.2579,8227,דשנים,primary,80,6.67,4000,400,7.8,6,300,1.5,0.09
119,32.20918,34.83571,איילון דרום,standard,0.2567,28110,543,primary,80,6.67,8000,800,15.6,12,300,2.5,0.2
120,32.96769,35.55054,90,standard,0.2557,4889,90,trunk,90,7.5,9000,900,17.6,20,300,1.5,0.0
121,31.42211,34.75408,264,gaza,0.2536,273,264,primary,90,7.5,8000,800,15.6,12,300,1.5,0.02
122,32.7896,35.02673,4,standard,0.2511,7107,דרך בר יהודה,primary,80,6.67,4000,400,7.8,6,300,2.0,0.03
123,31.27117,34.73814,25,gaza,0.2474,789,25,trunk,90,7.5,7000,700,13.7,12,300,1.5,0.07
124,31.50595,34.78295,כביש חוצה ישראל,gaza,0.2468,1591,כביש חוצה ישראל,motorway,110,9.17,8000,800,15.6,12,300,1.5,0.51
