alert_rank,lat,lon,road,risk_score,lanes_weight,nearby_alerts_marapr2026,northern_sentinel
122,31.68938,34.94521,38,1.8,1.5,10109,
123,31.68714,35.00053,375,2.0,1.0,10016,
124,32.80872,35.06728,4,4.0,1.5,9701,
125,31.67995,34.89797,353,2.0,1.0,9338,
126,32.8475,35.33747,804,2.0,1.0,8653,
127,32.92125,35.41999,85,4.0,1.5,8325,
128,32.4136,35.00844,9,1.5,2.0,8249,
129,32.76226,35.08886,70,4.0,1.5,8227,
130,33.12173,35.56893,899,4.0,1.5,8220,
131,33.05655,35.34288,899,4.0,1.5,8191,
132,32.43831,34.9105,4,1.8,1.5,8189,
133,32.7664,35.2483,77,1.8,1.5,8091,
134,33.0261,35.40521,899,4.0,1.5,8054,
135,31.66082,34.64063,35,1.8,1.5,7706,
136,32.98325,35.44364,866,4.0,1.0,7595,
137,32.77303,35.28044,77,1.8,1.5,7566,
138,32.76584,35.05279,752,1.8,1.5,7556,
139,33.11098,35.52242,899,4.0,1.5,7320,
140,33.09348,35.55081,886,4.0,1.0,7307,
141,32.86056,35.37656,805,2.5,1.0,7292,
142,31.66578,34.60655,35,1.8,1.5,7093,
143,33.08542,35.48372,899,4.0,1.5,6890,
144,33.06294,35.50491,886,4.0,1.0,6887,
145,33.02019,35.43926,89,4.0,1.5,6850,
146,32.44712,34.95452,65,1.8,1.5,6846,
147,32.72371,35.05861,672,2.0,1.5,6778,
148,32.73902,35.13676,762,2.0,1.5,6770,
149,32.7587,35.02101,672,2.0,1.5,6328,
150,32.7258,35.20244,77,1.8,1.5,6265,
151,33.05492,35.46496,899,4.0,1.5,6191,
152,33.01771,35.47641,886,4.0,1.0,6128,
153,32.72151,35.11213,75,1.8,1.5,6095,
154,32.69288,35.04788,672,2.0,1.5,6060,
155,32.79078,35.00092,23,1.8,1.5,5926,
156,33.09738,35.64298,918,4.0,1.5,5921,
157,32.88117,35.42552,807,2.5,1.0,5902,
158,32.70578,35.17467,75,1.8,1.5,5593,
159,32.70032,35.10152,6,1.5,1.5,5378,
160,32.83909,35.39797,806,2.5,1.5,5206,
161,31.61153,34.70348,352,2.0,1.0,5206,
162,32.73184,35.27114,79,1.8,1.5,5167,
163,32.98848,35.48381,89,4.0,1.5,5165,
164,32.46053,34.98551,652,2.0,1.5,5148,
165,32.80794,34.97731,672,2.0,1.5,5028,
166,32.67892,35.11712,722,2.0,1.5,4908,
167,32.69409,35.22448,75,1.8,1.5,4908,
168,32.98997,35.56218,91,4.0,1.5,4889,
169,33.03372,35.57237,90,4.0,1.5,4803,
170,32.4622,34.89597,2,1.5,2.0,4559,
171,32.95223,35.53767,89,4.0,1.5,4336,
172,32.8096,35.39803,785,2.5,1.0,3998,
173,32.91129,35.4788,85,4.0,1.5,3975,
174,32.76037,35.34575,754,2.0,1.5,3953,
175,32.47906,34.9547,651,2.0,1.5,3911,
176,32.77177,34.95518,2,1.5,2.0,3843,
177,32.85906,35.45391,65,4.0,1.5,3816,
178,31.61044,34.7496,40,1.8,1.5,3761,
179,32.91372,35.5429,85,4.0,1.5,3333,
180,32.70411,34.96926,4,1.8,1.5,3330,
181,33.01364,35.62272,918,4.0,1.5,3269,
182,32.46737,35.01954,574,2.0,1.5,3257,
183,31.64418,34.59254,4,1.8,1.5,3157,
184,31.56878,34.6433,352,2.0,1.0,2975,
185,32.50084,34.91576,2,1.5,2.0,2956,
186,32.71843,34.94844,2,1.5,2.0,2891,
187,31.62894,34.84567,353,2.0,1.0,2780,
188,32.51077,34.95707,652,2.0,1.5,2656,
189,31.61115,34.90326,35,1.8,1.5,2563,
190,32.96875,35.63829,888,4.0,1.0,2458,
191,32.76467,35.37671,77,1.8,1.5,2373,
192,31.56898,34.55008,4,4.0,1.5,2277,
193,32.68048,35.26942,75,1.8,1.5,2247,
194,32.71164,35.30683,754,2.0,1.5,2242,
195,32.85177,35.48069,807,2.5,1.0,2211,
196,32.63672,35.06427,672,2.0,1.5,2192,
197,32.66137,35.23909,73,1.8,1.5,2013,
198,32.9042,35.63379,888,4.0,1.0,2007,
199,32.83746,35.51055,90,4.0,1.5,1983,
200,33.02488,35.67288,91,4.0,1.5,1968,
201,32.5173,34.99246,654,2.0,1.0,1768,
202,31.593,34.96153,35,1.8,1.5,1591,
203,31.58466,34.8366,35,1.8,1.5,1566,
204,31.53523,34.61384,232,4.0,1.0,1562,
205,32.88681,35.58082,87,4.0,1.0,1557,
206,31.4772,34.93064,358,2.0,1.0,1527,
207,31.53612,34.91855,358,2.0,1.0,1527,
208,31.41642,34.93574,354,2.0,1.0,1527,
209,31.37831,34.82109,6,1.5,1.5,1313,
210,31.29787,34.88736,60,1.8,2.0,1287,
211,31.5081,34.58674,34,4.0,1.5,1082,
212,31.49138,34.55185,232,4.0,1.0,1082,
213,31.57875,34.8074,6,1.5,1.5,1067,
214,31.3713,34.78307,310,2.0,1.5,1062,
215,31.33837,34.78876,40,1.8,1.5,1062,
216,32.76606,35.40873,65,4.0,1.5,1032,
217,31.21741,34.80488,406,2.0,2.0,1014,
218,31.26317,34.79811,406,2.0,2.0,1014,
219,31.20055,34.91648,25,1.8,1.5,1014,
220,31.24566,34.82904,40,1.8,1.5,1014,
221,31.12895,34.80902,40,1.8,1.5,1014,
222,31.2926,34.92277,31,1.8,1.5,1014,
223,31.28247,34.82577,40,1.8,1.5,1014,
224,31.21811,34.86529,25,1.8,1.5,1014,
225,31.53723,34.76673,40,1.8,1.5,973,
226,32.66829,34.93734,2,1.5,2.0,889,
227,32.61172,35.08374,672,2.0,1.5,875,
228,31.49691,34.68572,334,2.0,1.0,827,
229,31.31102,34.78834,406,2.0,2.0,789,
230,31.3318,34.69961,264,2.0,1.5,789,
231,31.342,34.72372,310,2.0,1.5,789,
232,31.27642,34.73491,25,1.8,1.5,789,
233,31.25975,34.75566,25,1.8,1.5,789,
234,31.38652,34.87779,358,2.0,1.0,772,
235,32.88314,35.66072,92,4.0,1.0,765,
236,32.6407,34.95852,4,1.8,1.5,662,
237,31.44584,34.57071,25,4.0,1.5,620,
238,31.45198,34.59995,34,4.0,1.5,620,
239,32.54495,34.91657,2,1.5,2.0,587,
240,32.54428,34.96693,654,2.0,1.0,587,
241,31.2012,35.35995,90,1.8,1.5,536,
242,32.54162,35.43778,71,1.8,1.5,510,
243,32.55679,35.37694,71,1.8,1.5,510,
244,32.5864,35.43541,717,2.5,1.0,510,
245,32.52864,35.37212,667,2.0,1.0,510,
246,32.65708,35.29228,60,1.8,2.0,453,
247,32.60988,35.04111,67,1.8,1.5,440,
248,32.78608,35.49499,768,2.5,1.5,348,
249,32.78097,35.43836,77,1.8,1.5,348,
250,32.49797,35.06434,65,1.8,1.5,298,
251,30.62194,34.80364,40,2.0,1.5,284,
252,30.71894,34.77792,40,2.0,1.5,284,
253,30.58546,34.89128,40,2.0,1.5,284,
254,31.17296,35.31124,31,1.8,1.5,283,
255,31.14664,35.22025,258,2.0,1.0,283,
256,31.33762,34.92885,60,1.8,2.0,273,
257,31.44222,34.766,293,2.0,1.5,273,
258,31.40207,34.78879,40,1.8,1.5,273,
259,31.44277,34.73377,334,2.0,1.0,273,
260,32.59074,35.2921,60,1.8,2.0,232,
261,32.70236,35.41203,65,2.5,1.5,232,
262,32.67846,35.41214,65,2.5,1.5,232,
263,32.55796,35.31901,675,2.0,1.5,232,
