area_name_hebrew,lat,lon,alerts_since_oct7_2023,geocoded
שעלבים,31.9272,34.9881,576,yes
תחנת רכבת ראש העין,32.0956,34.9536,576,yes
כפר רות,31.9544,35.0489,575,yes
חולדה,31.8819,34.9361,574,yes
עדנים,31.8247,34.8917,574,yes
ירקונה,32.1461,34.9394,573,yes
נווה ירק,32.1397,34.9039,572,yes
כפר קאסם,32.1144,34.9778,572,yes
מרכז אזורי דרום השרון,32.08,35.0167,572,yes
נצר חזני,31.8428,34.7997,571,yes
ברוכין,32.1394,35.0567,571,yes
מעיין ברוך,33.2417,35.6039,571,yes
מבוא חורון,31.8814,35.0881,571,yes
זרעית,33.0739,35.1747,570,yes
משמר דוד,31.8494,34.8644,569,yes
יבנה,31.876,34.7432,564,yes
יסודות,31.8678,34.8506,563,yes
ברקן,32.1069,35.0856,563,yes
מלכיה,33.0861,35.1783,563,yes
אזור תעשייה אריאל,32.1064,35.1686,563,yes
קריית נטפים,32.1139,35.1058,561,yes
אזור תעשייה ברקן,32.1069,35.0856,561,yes
חגור,32.3253,34.9531,559,yes
גני עם,32.3014,34.9436,558,yes
ג'לג'וליה,32.1556,34.9556,558,yes
כפר ברא,32.1514,34.9881,557,yes
כפר סבא,32.1756,34.9067,555,yes
אלישמע,32.1794,34.9939,555,yes
גבעת חן,32.1597,34.9633,554,yes
שדי חמד,32.1297,34.9742,554,yes
אורנית,32.1339,34.9822,554,yes
חורשים,32.1381,34.9567,554,yes
רבבה,32.21,35.11,552,yes
ירחיב,32.11,34.9681,551,yes
מתן,32.1353,35.0064,551,yes
נירית,32.1217,34.9997,549,yes
כפר מל''ל,32.2753,34.935,548,yes
רמות השבים,32.1536,34.9886,548,yes
אלקנה,32.1583,35.0272,547,yes
מצובה,33.0458,35.1044,546,yes
שערי תקווה,32.1439,35.0203,546,yes
נווה ימין,32.1736,34.9492,544,yes
נחליאל,31.9733,35.1294,544,yes
גבעת ברנר,31.8636,34.8028,542,yes
ראש הנקרה,33.0869,35.0986,542,yes
נריה,31.9819,35.1028,541,yes
עץ אפרים,32.1589,35.0469,540,yes
כרם רעים,32.1308,35.0519,539,yes
רעננה,32.1844,34.8706,538,yes
כפר הנגיד,31.8347,34.815,537,yes
שתולה,33.0842,35.1556,537,yes
דולב,31.9589,35.1428,537,yes
חרשה,32.0925,35.0808,536,yes
טלמון,31.9439,35.1297,535,yes
אריאל,32.1064,35.1686,533,yes
מיני ישראל,31.9264,34.9861,533,yes
בקוע,31.8267,35.0972,531,yes
בית חורון,31.9011,35.1028,530,yes
נחשון,31.8011,34.9681,526,yes
אלפי מנשה,32.2028,35.0136,526,yes
לטרון,31.8333,34.9833,525,yes
בית גמליאל,31.8411,34.7783,524,yes
פארק אריאל שרון,32.07,34.9286,524,yes
צופית,32.1581,35.0147,523,yes
קצרין,32.9958,35.6914,523,yes
עטרת,31.9889,35.2047,522,yes
נווה שלום,31.8525,34.9892,521,yes
שומרה,33.0278,35.1394,521,yes
אזור תעשייה חבל מודיעין שוהם,32.0044,34.9492,518,yes
בית אלעזרי,31.8828,34.8281,517,yes
הראל,31.815,35.0592,515,yes
גן חיים,32.1019,34.9597,515,yes
איזור תעשייה מילואות צפון,32.085,34.965,515,yes
צלפון,31.8492,34.9461,513,yes
רשפון,32.1894,34.8106,513,yes
ניר אליהו,32.1353,34.9681,513,yes
מסילת ציון,31.8289,35.1347,512,yes
הגושרים,33.245,35.6122,512,yes
גיזו,31.8561,35.0072,511,yes
נופי נחמיה,32.0831,35.0956,511,yes
טל שחר,31.8028,34.935,510,yes
מעלה לבונה,32.0344,35.2522,509,yes
מעלה החמישה,31.8258,35.1253,508,yes
נטף,31.8156,35.0894,508,yes
תעוז,31.8575,35.0742,507,yes
בית ברל,32.1186,34.9186,507,yes
חוות עולם חסד,31.875,35.045,507,yes
בן זכאי,31.9167,34.9781,506,yes
חוות יאיר,32.0928,35.1294,506,yes
כפר אוריה,31.7689,34.9736,504,yes
קריית יערים,31.8142,35.1219,504,yes
נווה אילן,31.8311,35.0928,504,yes
יפתח,33.1058,35.2028,504,yes
חוות אביחי,32.0711,35.1044,504,yes
שדה ורבורג,32.2933,34.9528,503,yes
רחלים,32.09,35.2633,503,yes
מעון צופיה,32.2178,35.1014,502,yes
אשתאול,31.7731,34.9917,502,yes
שורש,31.8078,35.1,502,yes
קריית ענבים,31.8072,35.1406,502,yes
יד השמונה,31.7939,35.1289,502,yes
נופים,32.1158,35.1644,502,yes
בית מאיר,31.7978,35.12,501,yes
שואבה,31.8022,35.1167,501,yes
קרני שומרון,32.195,35.08,501,yes
רטורנו,31.9511,35.0847,500,yes
תרום,31.9072,34.9558,500,yes
חוות צרידה,31.8817,35.0869,500,yes
קדרון,31.8911,34.7983,499,yes
הר אדר,31.8514,35.0744,498,yes
רמות נפתלי,33.1328,35.4278,498,yes
אביבים,33.1583,35.4883,498,yes
גבעת יערים,31.8075,35.1131,497,yes
בית נקופה,31.8278,35.1447,497,yes
גשר הזיו,33.0464,35.1361,497,yes
ארסוף,32.1942,34.8136,497,yes
יקיר,32.1214,35.1242,497,yes
חוות שחרית,31.9353,35.1836,497,yes
בניה,31.8431,34.7819,496,yes
רמת רזיאל,31.7692,35.0803,495,yes
צובה,31.7889,35.1217,495,yes
צופים,32.1769,35.1358,495,yes
כפר הנוער קריית יערים,31.8142,35.1219,495,yes
אזור תעשייה הדרומי אשקלון,31.62,34.56,494,yes
תירוש,31.7728,34.9556,494,yes
אזור תעשייה הר טוב,31.7536,34.9461,494,yes
נחם,31.8775,35.0347,493,yes
כסלון,31.7511,35.1189,493,yes
בצרה,32.1842,34.9731,493,yes
גפן,31.8192,34.9294,491,yes
כוכב יעקב,31.9028,35.1708,491,yes
צרעה,31.7706,34.9861,490,yes
גבע בנימין,31.9569,35.2556,490,yes
עלי,32.0578,35.2267,490,yes
בית אל,31.9408,35.2211,490,yes
תל ציון,31.9447,35.1953,490,yes
אבו גוש,31.8044,35.1036,490,yes
"חוות נוף אב""י",31.9167,35.1167,490,yes
חוות שוביאל,31.8617,35.1103,490,yes
גדרה,31.8122,34.7769,489,yes
בית שמש,31.7517,34.9867,488,yes
עין ראפה,31.8231,35.1083,488,yes
ישעי,31.8181,34.9053,488,yes
שפיים,32.2028,34.8097,488,yes
אייל,32.2328,34.9492,487,yes
אדמית,33.0272,35.1322,486,yes
נווה צוף,32.0186,35.1664,486,yes
מכינת אלישע,32.1789,34.9097,486,yes
חצב,31.8494,34.8061,485,yes
יד בנימין,31.8481,34.7931,485,yes
בני ציון,32.2839,34.9058,485,yes
חוות מגנזי,32.0533,35.1844,485,yes
מבוא ביתר,31.7089,35.1297,484,yes
עין נקובא,31.8239,35.1356,484,yes
פסגות,31.9528,35.2153,484,yes
מתחם גלילות,32.1194,34.8339,484,yes
מחסיה,31.7769,34.9728,483,yes
עמנואל,32.1517,35.1442,483,yes
גבעת אסף,31.9231,35.1894,483,yes
בית חלקיה,31.8344,34.8239,482,yes
צור הדסה,31.7147,35.0764,482,yes
זנוח,31.7714,34.9636,482,yes
חוות נווה צוף,32.0186,35.1664,482,yes
בני עי''ש,31.9308,34.8186,481,yes
כפר מרדכי,31.8725,34.8247,480,yes
עשרת,31.9183,34.8392,480,yes
שדמה,31.8617,34.8617,480,yes
מגרון,31.9561,35.2061,480,yes
אזור תעשייה שער בנימין,31.9469,35.2028,480,yes
כפר אביב,32.1919,34.9556,479,yes
נס הרים,31.7664,35.0936,479,yes
אזור תעשייה כנות,31.8767,34.8019,478,yes
ב,31.8044,34.6553,477,yes
ד,31.8044,34.6553,477,yes
ה,31.8044,34.6553,477,yes
רמת הכובש,32.1806,34.9414,477,yes
בר גיורא,31.7275,35.0594,476,yes
שילה,32.0478,35.3106,476,yes
גן יבנה,31.7922,34.7114,475,yes
משגב דב,32.8647,35.3906,475,yes
שבות רחל,32.0219,35.3269,474,yes
ביצרון,31.9028,34.8119,473,yes
חפץ חיים,31.87,34.8356,473,yes
מטע,31.8047,35.1042,473,yes
אזור תעשייה ברוש,31.9019,34.8261,473,yes
עפרה,31.9933,35.2342,473,yes
אחיה,32.1279762,34.8033381,473,yes
כנות,31.8026404,34.752375,472,yes
כרם ביבנה,31.8179458,34.7224534,472,yes
מישר,31.8189291,34.7562238,472,yes
נווה מבטח,31.8059239,34.7410254,472,yes
גני טל,31.7886881,34.791191,471,yes
עמיחי,31.9359075,34.8565022,471,yes
חרוצים,32.2275023,34.8641079,471,yes
עדי עד,32.0583,35.3028,471,yes
מעלה מכמש,31.8781,35.2658,470,yes
געש,32.2381,34.8197,470,yes
קידה,32.0236,35.2833,470,yes
שדות מיכה,31.7208,34.9267,469,yes
ו,31.8044,34.6553,468,yes
ז,31.8044,34.6553,468,yes
אשדוד -יא,31.8044,34.6553,468,yes
יב,31.8044,34.6553,468,yes
טו,31.8044,34.6553,468,yes
יז,31.8044,34.6553,468,yes
מרינה,31.8044,34.6553,468,yes
בני ראם,31.7853,34.8153,468,yes
גופנה,32.0019,35.2108,468,yes
גבעת וושינגטון,31.8228,34.7942,467,yes
גן הדרום,31.8431,34.7819,467,yes
רבדים,31.7792,34.8819,467,yes
כפר הרי''ף וצומת ראם,31.8167,34.8167,466,yes
זכריה,31.7711,34.9511,466,yes
אזור תעשייה רבדים,31.7792,34.8819,466,yes
קבוצת יבנה,31.84,34.7239,465,yes
פארק תעשייה ראם,31.8167,34.8167,465,yes
מתחם בני דרום,31.7997,34.7808,465,yes
ניר גלים,31.7914,34.6383,464,yes
בני דרום,31.7997,34.7808,464,yes
כוכב יאיר,32.2047,34.9817,464,yes
רימונים,31.9317,35.2017,464,yes
אביעזר,31.7331,35.0133,463,yes
כוכב השחר,31.9914,35.2342,462,yes
משמרת,32.3575,34.9119,462,yes
שתולים,31.7783,34.7608,461,yes
ט,31.8044,34.6553,461,yes
י,31.8044,34.6553,461,yes
יג,31.8044,34.6553,461,yes
יד,31.8044,34.6553,461,yes
טז,31.8044,34.6553,461,yes
נתיב הל''ה,31.6978,35.0656,461,yes
כפר מסריק,32.8783,35.1247,461,yes
אילון,33.0783,35.1458,460,yes
טירה,32.2344,34.9514,460,yes
גבעת ישעיהו,31.7289,34.9858,459,yes
כפר תפוח,32.0928,35.2547,459,yes
שריגים,31.7281,34.9417,459,yes
נווה מיכאל,31.7478,35.0161,458,yes
ע'ג'ר,32.9906,35.3175,458,yes
שדה אפרים,32.1044,35.1886,458,yes
תלמי יחיאל,31.8083,34.7686,457,yes
עגור,31.7614,34.9397,457,yes
יקום,32.2506,34.8589,457,yes
אזור תעשייה גדרה,31.8122,34.7769,457,yes
גבעות עדן,31.7975,35.0572,456,yes
כפר מנחם,31.77,34.8567,456,yes
תחנת רכבת קריית מלאכי,31.7311,34.7408,456,yes
מסוף אורנית,32.1339,34.9822,455,yes
כפר אחים,31.8383,34.8333,454,yes
אדרת,31.7561,35.0031,453,yes
יראון,33.1422,35.4761,453,yes
אבן מנחם,33.0581,35.1822,453,yes
חצור,33.0256,35.5658,452,yes
חרות,32.3186,34.9175,452,yes
ינון,31.9117,34.9133,452,yes
סער,33.0183,35.1097,451,yes
יבוא דודי,31.9658,34.8044,451,yes
כפר הס,32.1869,34.9736,449,yes
גבעת הרואה,32.3111,34.9039,449,yes
אחווה,31.79,34.7564,448,yes
ערוגות,31.7356,34.7261,447,yes
צור יצחק,32.2469,34.9792,447,yes
צפרירים,31.7214,34.8181,446,yes
קריית מלאכי,31.7311,34.7408,446,yes
גורן,33.0519,35.2561,446,yes
בית יהושע,32.2361,34.8989,446,yes
תל יצחק,32.2461,34.9139,446,yes
דורות עילית,31.5658,34.6214,446,yes
אורות,31.8508,34.7656,445,yes
אזור תעשייה באר טוביה,31.7167,34.7433,445,yes
מכון וינגייט,32.3353,34.8717,445,yes
דישון,33.0875,35.5028,444,yes
גבעת הראל,31.9439,35.1297,444,yes
חוות נחל שילה,32.0875,35.2647,444,yes
אל עזי,,,443,no
צור נתן,32.2597,34.9958,443,yes
עין המפרץ,32.885,35.0892,443,yes
כפר עבודה,32.2156,34.9217,442,yes
לוזית,31.7825,34.9186,441,yes
יצהר,32.1367,35.2053,441,yes
אודים,32.2294,34.9072,441,yes
תל מונד,32.2617,34.9225,441,yes
בני דרור,32.3097,34.9267,440,yes
דוב''ב,,,439,no
תימורים,31.7572,34.7064,437,yes
אזור תעשייה תימורים,31.7572,34.7064,437,yes
סלעית,32.2119,35.0256,436,yes
שאר ישוב,33.2236,35.6069,436,yes
אבן יהודה,32.2728,34.8889,435,yes
חוות גלעד,32.0858,35.1508,435,yes
קריית ביאליק,32.8394,35.0883,434,yes
אזור תעשייה עד הלום,31.8411,34.7319,432,yes
עזריאל,32.24,34.9708,432,yes
עין ורד,32.2039,34.9275,432,yes
שדה עוזיהו,31.8253,34.7431,431,yes
דפנה,33.2261,35.6542,431,yes
טייבה,32.2669,35.0014,431,yes
כפר נטר,32.2597,34.9175,431,yes
עין שריד,32.3039,34.9639,431,yes
רמת מגרון,31.9564,35.2181,431,yes
באר טוביה,31.7167,34.7433,430,yes
נחושה,31.7811,34.9019,429,yes
חוות חנינא,31.9156,35.1569,428,yes
עזריקם,31.76,34.7611,427,yes
מרכז אזורי מבואות חרמון,33.2061,35.6514,427,yes
אש קודש,31.9333,35.2358,426,yes
חוות נחלת צבי,32.0917,35.1267,426,yes
עבדון,33.0581,35.2039,425,yes
אעירה השחר,32.0028,35.2033,425,yes
חוות בניהו,,,425,no
חוות מעלה אהוביה,,,425,no
כפר ורבורג,,,424,no
אזור תעשייה שער נעמן,,,424,no
נווה ארז,,,424,no
חוות ינון,,,424,no
מצפה דני,,,424,no
בית עזרא,,,423,no
הר ברכה,,,423,no
החווה של זוהר,,,423,no
חוות מלכיאל,,,423,no
גורנות הגליל,,,422,no
קדומים,32.1661,35.1153,422,yes
קדימה צורן,32.2817,34.9128,422,yes
ביתר עילית,31.6917,35.1178,421,yes
בית ניר,,,420,no
מגדלים,,,420,no
בני אדם,,,420,no
אמונים,,,419,no
אביגדור,,,418,no
יעף,,,418,no
חוף בצת,,,417,no
פורת,,,417,no
גבעתי,,,415,no
ג'דידה מכר,,,415,no
ביריה,,,414,no
צור משה,32.3458,34.9117,412,yes
קלנסווה,,,412,no
עזר,,,411,no
דלתון,,,411,no
גאולים,,,410,no
איתמר,,,408,no
פרדסיה,,,407,no
אזור תעשייה קריית ביאליק,,,407,no
אזור תעשייה בראון,,,407,no
אביתר,,,407,no
קדמה,,,406,no
הר גילה,,,406,no
קריית ים,,,406,no
קיבוץ דן,,,406,no
קריית מוצקין,,,406,no
שער אפרים,,,406,no
ינוב,,,405,no
כפר יונה,32.3189,34.9361,404,yes
כפר זוהרים,,,403,no
סיטי,,,403,no
גנות הדר,,,402,no
משואות יצחק,,,401,no
שפיר,,,401,no
בן עמי,,,401,no
נורדיה,32.3064,34.8728,401,yes
עין צורים,,,400,no
אזור תעשייה כפר יונה,,,400,no
שבי שומרון,32.225,35.1353,400,yes
מעלות תרשיחא,33.0172,35.2744,399,yes
שניר,33.2317,35.64,399,yes
תנובות,32.3339,34.9514,399,yes
מרכז שפירא,,,398,no
גבעות,,,398,no
ראש צורים,,,398,no
זבדיאל,,,397,no
ורדון,32.1653,34.94,397,yes
בית יצחק,,,397,no
נטועה,,,396,no
מעונה,,,396,no
נחלה,,,395,no
זרחיה,,,395,no
סגולה,,,395,no
נווה דניאל,,,394,no
כברי,,,394,no
המרכז האקדמי רופין,,,394,no
בורגתה,,,394,no
חניאל,,,394,no
גלאון,,,393,no
מנוחה,,,393,no
מעיליא,,,393,no
שושנת העמקים,,,393,no
ניר בנים,31.7853,34.7942,391,yes
מעלה אפרים,,,391,no
גיתית,,,391,no
אלומה,,,390,no
בית גוברין,,,390,no
אפרת,,,390,no
בת עין,,,390,no
אביחיל,,,390,no
ניצני עוז,,,390,no
נתיב העשרה,,,389,no
קריית גת,31.61,34.7636,389,yes
כרמי גת,,,389,no
כפר ידידיה,,,389,no
בארותיים,,,389,no
קוממיות,,,388,no
רווחה,,,388,no
פסוטה,,,388,no
קדיתא,,,388,no
הדר עם,,,388,no
כפר מונש,,,388,no
אבני חפץ,,,388,no
כפר עציון,,,387,no
גבעת שפירא,,,387,no
מבואות יריחו,,,387,no
יד נתן,,,386,no
אלעזר,,,386,no
בת חן,32.3503,34.9256,386,yes
שדה יואב,,,385,no
נגבה,,,385,no
ביתן אהרן,,,385,no
ייט''ב,,,385,no
אלון מורה,32.1528,35.3075,385,yes
גת,,,384,no
עוצם,,,384,no
קריית אתא,,,384,no
חבצלת השרון וצוקי ים,,,384,no
כפר חיים,,,384,no
ענב,,,383,no
יד חנה,,,383,no
נעמה,,,382,no
חוות מגדלים,,,382,no
נעורים,,,381,no
גלגל,31.9611,35.4386,381,yes
אזור תעשייה קריית גת,,,380,no
אלון שבות,,,380,no
אבירים,33.0664,35.2469,380,yes
עולש,,,380,no
צומת הגוש,,,380,no
שחר,,,379,no
בית העלמין החדש עכו,,,379,no
נתיב הגדוד,,,379,no
מכורה,,,379,no
בית הלוי,,,379,no
שדה משה,,,377,no
משמר השרון,,,377,no
אזור תעשייה רמת דלתון,,,376,no
גן יאשיה,,,376,no
תומר,,,376,no
העוגן,,,376,no
חוות שדה,,,376,no
נהורה,,,375,no
לכיש,,,375,no
אבן שמואל,31.7714,34.7686,375,yes
איתן,,,375,no
מעברות,,,375,no
בת חפר,,,375,no
פצאל,,,375,no
נוגה,,,374,no
בית חרות,,,374,no
פארק תעשיות מגדל עוז,,,374,no
עלמון,,,373,no
כרמי צור,,,373,no
בית ינאי,,,373,no
נערן,31.9611,35.4544,373,yes
חמרה,,,373,no
ניר ח''ן,,,372,no
נועם,,,372,no
מגדל עוז,,,372,no
שקד,32.3206,35.1228,372,yes
ברעם,33.0789,35.2814,372,yes
ריחן,,,371,no
מזרעה,,,371,no
נווה זיו,,,371,no
אזור תעשייה שחק,,,371,no
אמץ,,,371,no
בחן,,,371,no
חיננית,,,370,no
עמוקה,,,370,no
לוחמי הגטאות,,,370,no
חופית,,,370,no
ארגמן,,,370,no
שלווה,,,370,no
כרם בן זמרה,,,369,no
מנות,,,369,no
כפר ויתקין,32.3817,34.9033,369,yes
אלישיב,,,369,no
זוהר,,,368,no
טל מנשה,,,368,no
מעלה חבר,,,368,no
יפית,,,368,no
עוזה,,,367,no
מעלה אדומים,31.7753,35.2997,367,yes
רגבה,,,367,no
משואה,,,367,no
גאולי תימן,32.2186,34.9328,367,yes
מבוא דותן,,,366,no
אחוזם,,,366,no
המעפיל,,,366,no
חצור הגלילית,,,365,no
אפק,,,365,no
חגלה,,,365,no
שדרות,31.5225,34.5972,364,yes
איבים,,,364,no
שדה דוד,,,364,no
תלמים,,,364,no
כפר הרא''ה,,,364,no
גבעת חיים מאוחד,,,364,no
ניר עם,31.4528,34.5006,363,yes
כרמיאל,32.9078,35.2975,363,yes
מג'דל כרום,,,362,no
כפר ביאליק,32.8203929,35.0869133,362,yes
זמר,32.36221,35.0325131,362,yes
שדה בר,32.0859629,34.8827823,362,yes
חרמש,32.2165124,34.8629914,362,yes
אחיטוב,32.3873272,34.9914108,362,yes
עין החורש,32.3863188,34.9400265,362,yes
גבעת חיים איחוד,32.4002771,34.9330496,362,yes
ג'ש,33.0243744,35.4458835,361,yes
נתיב השיירה,32.9928246,35.1355166,361,yes
אזור תעשייה צפוני אשקלון,31.8341873,34.6846914,360,yes
אליכין,32.4079533,34.9248732,360,yes
תקוע,32.0877639,34.8859985,359,yes
אלון,32.1469516,34.843991,359,yes
"בית חג""י",32.1662606,34.8401853,359,yes
אזור תעשייה עמק חפר,32.34,34.91,359,yes
חיבת ציון,32.3987871,34.9120169,359,yes
חרב לאת,32.4012716,34.9170982,359,yes
מלאכי השלום,,,359,no
סאסא,33.026907,35.39499,358,yes
שבי ציון,32.980597,35.0832938,358,yes
בקעות,32.3381951,35.0128413,358,yes
כפר אלדד,32.0725007,34.8637331,358,yes
מעלה רחבעם,32.3245869,34.8475908,358,yes
נוקדים,31.3049236,35.2742358,358,yes
רועי,31.8126696,34.9715153,358,yes
מכמורת,32.4062774,34.8728998,358,yes
חוות ראש תאנה,,,358,no
נופי פרת,,,357,no
חוות אלחי,,,357,no
אזור תעשייה מישור אדומים,,,356,no
גבעת פורת יוסף,,,356,no
חוות הרשאש,,,356,no
חוות פריאל,,,356,no
אדורה,32.2916738,34.8469084,355,yes
כפר אדומים,,,355,no
חוות מרום שמואל,,,355,no
כפר ורדים,32.9972507,35.2725342,354,yes
תלם,32.1843823,34.8969006,354,yes
יעבץ,32.089128,34.8422369,354,yes
גבעת זאב,31.8260249,35.2606499,353,yes
חמדת,32.9488949,35.4245296,353,yes
בוסתן הגליל,32.9505232,35.0817793,352,yes
מיצד,32.158026,34.913352,352,yes
פני קדם,,,352,no
עתניאל,31.7622976,35.2219756,352,yes
מצפור פצאל,,,352,no
בענה,32.9280587,35.272169,351,yes
גבעון החדשה,,,351,no
עינות קדם,,,351,no
מבשרת ציון,31.8039508,35.1570251,350,yes
מוצא עילית,31.7934936,35.1565626,350,yes
עברון,32.9926009,35.1002025,350,yes
החווה של יאיא,,,350,no
אור הגנוז,33.005079,35.4475065,349,yes
ספסופה,33.0108471,35.4386655,349,yes
מבקיעים,31.6221558,34.5771198,348,yes
ראש פינה,32.968215,35.5438245,348,yes
