alert_rank,aadt_rank,lat,lon,road,risk_score,lanes_weight,aadt_vehicles_per_day,nearby_alerts_15km
146,161,32.897280698696775,35.17223182786978,70,4.0,1.5,20000,25775
147,90,31.702333995514003,34.71374925585459,3,1.8,1.5,30000,25651
148,36,31.71477938563279,34.82077027289345,6,1.5,1.5,48000,25437
149,405,32.9784512,35.2722319,854,4.0,1.5,8000,25330
150,205,32.9124567489812,35.18268055902087,85,4.0,1.5,15000,25185
151,206,32.912612522695184,35.18273648086207,85,4.0,1.5,15000,25185
152,162,33.00767852601651,35.145530911557024,70,4.0,1.5,20000,25177
153,166,33.0051905,35.1451366,70,4.0,1.5,20000,25141
154,270,33.0026148,35.2869171,89,4.0,1.5,9000,24679
155,374,32.8932243,35.1837434,805,2.0,1.0,8000,24631
156,281,33.01555995993626,35.15721540919772,89,4.0,1.5,9000,24609
157,227,32.311859,34.9985091,57,1.8,2.0,13000,24587
158,169,32.87690961422053,35.17742322171042,70,4.0,1.5,20000,24316
159,242,32.320613576707515,34.93117711795052,57,1.8,2.0,13000,24197
160,420,32.9727234,35.2775471,854,4.0,1.5,8000,23999
161,88,31.69610321277777,34.69511911919781,3,1.8,1.5,30000,23446
162,235,32.326531,34.8626822,57,1.8,2.0,13000,22944
163,16,32.32634886803869,34.86812143519335,2,1.5,2.0,75000,22944
164,581,33.06229019469994,35.245346361247,899,4.0,1.5,3500,22567
165,408,33.0001394,35.2995065,864,4.0,1.0,8000,22248
166,479,32.947283809952545,35.26881288779681,854,4.0,1.5,8000,21644
167,168,32.84362675020586,35.16382547706033,70,4.0,1.5,20000,20930
168,80,31.724216684914822,34.6356007950735,4,1.8,1.5,40000,20745
169,74,32.973515727292266,35.09272055624355,4,4.0,1.5,40000,20547
170,164,32.8323457886262,35.15542578585334,70,4.0,1.5,20000,20537
171,217,31.724176677188616,34.96529158781999,38,1.8,1.5,14000,20286
172,531,32.980358141322895,35.096414908985516,859,4.0,1.5,8000,20113
173,83,33.0179564,35.1035929,4,4.0,1.5,40000,20012
174,72,32.970918826961956,35.09275068997199,4,4.0,1.5,40000,19984
175,545,32.8342306,35.2168686,781,2.0,1.5,8000,19721
176,368,32.9258305,35.2992486,854,4.0,1.5,8000,19618
177,202,32.923386831175016,35.281014591808805,85,4.0,1.5,15000,19575
178,188,32.833956869675006,35.12385538004311,79,1.8,1.5,18000,19556
