rank,lat,lon,road,zone,composite_score,alert_score_norm,border_proximity_score,nearby_alerts_marapr2026,road_risk,lanes_weight,status,relocated_from_lat,relocated_from_lon,nearest_city_when_relocated,moved_km
372,29.45665,35.03705,15,standard,0.0,0.0,0.0,0,3.5,1.0,rural,,,,
374,32.59429,35.18035,66,standard,0.0,0.0,0.0,0,3.5,1.0,rural,,,,
375,31.00401,35.27512,מעלה תמר,standard,0.0,0.0,0.0,0,3.5,1.0,rural,,,,
376,29.49429,35.08565,15,standard,0.0,0.0,0.0,0,3.5,1.0,rural,,,,
377,30.92485,35.02487,206,standard,0.0,0.0,0.0,0,2.5,1.0,rural,,,,
378,32.71419,35.54642,767,standard,0.0,0.0,0.0,0,2.5,1.0,rural,,,,
379,32.49564,35.15476,596,standard,0.0,0.0,0.0,0,2.5,1.0,rural,,,,
380,30.93723,35.11694,227,standard,0.0,0.0,0.0,0,2.5,1.0,rural,,,,
381,30.95248,35.01187,225,standard,0.0,0.0,0.0,0,2.5,1.0,rural,,,,
382,31.01151,35.07848,206,standard,0.0,0.0,0.0,0,2.5,1.0,rural,,,,
383,30.88774,35.13939,227,standard,0.0,0.0,0.0,0,2.5,1.0,rural,,,,
384,30.9633,35.04934,227,standard,0.0,0.0,0.0,0,2.5,1.0,rural,,,,
385,31.08317,35.21114,258,standard,0.0,0.0,0.0,0,2.5,1.0,rural,,,,
