area_name_hebrew,alerts_since_oct7_2023
חוות שיקמים,21
הר הנגב,20
עבדת,20
חוף ניצנים,18
בית סוהר נפחא,17
קצר-א-סיר,16
חי-בר יטבתה,15
חוות יזרעם,14
כושי רמון,10
חוות ערנדל,10
נוף איילון (אזור התרעה ישן),10
שעלבים (אזור התרעה ישן),10
מלון סיקס סנסס שחרות,9
חניון הנתיב מהיר (אזור התרעה ישן),9
אבו-גוש,8
סינמה סיטי גלילות (אזור התרעה ישן),8
עשאהל,7
שהם,6
חברון,5
הר-חלוץ,4
כיסרא סמיע,4
ינוח-ג'ת,3
בית חגי,3
יעף (אזור התרעה ישן),3
כפר יעבץ (אזור התרעה ישן),3
אזור תעשייה טירה (אזור התרעה ישן),3
קריית טבעון-בית זייד,2
אזור תעשייה צמח,2
נעורה,2
'ביר הדאג,2
חוות שדה בר,2
בדיקה שקטה 2,2
בדיקה פנימית 4,2
בדיקה שקטה 1,2
בדיקה פנימית 0,2
תרגיל עורף לאומי,2
בחלק מהאזורים בארץ,2
אשדות יעקב איחוד,1
אשדות יעקב מאוחד,1
קדימה-צורן,1
אל-ח'וואלד מערב,1
המכללה האקדמית כנרת,1
כפר יסיף,1
