rank,lat,lon,road,zone,composite_score,nearby_alerts_marapr2026,highway_type,road_speed_kmh,catchment_per_dir_km,aadt_normal,aadt_wartime,estimated_people_in_catchment,base_capacity,suggested_capacity,capacity_upgraded,upgrade_reason,alert_seconds
73,31.31762,34.60265,241,Gaza envelope,0.3784,0,primary,80,5.33,8000,800,12.5,20,20,no,,240
74,31.99043,34.79803,4,Standard,0.3748,41043,motorway,100,8.33,40000,4000,78.0,50,50,no,alerts>40K (+2 tiers),300
75,31.74875,34.88079,383,Standard,0.368,28403,primary,80,6.67,8000,800,15.6,20,30,yes,alerts>20K (+1 tier),300
76,32.88962,35.25865,784,Standard,0.3666,13342,primary,80,6.67,4000,400,7.8,12,12,no,,300
77,33.0197,35.4405,89,Standard,0.3657,6850,trunk,90,7.5,9000,900,17.6,20,20,no,,300
78,33.0454,35.48964,886,Standard,0.3656,5993,primary,80,6.67,8000,800,15.6,20,20,no,,300
79,32.83996,35.11552,79,Standard,0.3645,13505,trunk,90,7.5,18000,1800,35.1,50,50,no,,300
80,32.8402,35.16247,70,Standard,0.363,14475,trunk,90,7.5,20000,2000,39.0,50,50,no,,300
81,31.57579,34.67754,352,Gaza envelope,0.357,2730,primary,80,5.33,8000,800,12.5,20,20,no,,240
82,31.9594,34.75889,איילון דרום,Standard,0.3567,34515,motorway,70,5.83,8000,800,15.6,20,30,yes,alerts>20K (+1 tier),300
83,32.21118,34.88385,כביש חיפה רעננה,Standard,0.3527,38631,trunk,90,7.5,8000,800,15.6,20,30,yes,alerts>20K (+1 tier),300
84,32.93669,35.37481,864,Standard,0.3492,11270,primary,80,6.67,8000,800,15.6,20,20,no,,300
85,32.02119,34.80573,השבעה,Standard,0.3475,38052,trunk,70,5.83,18000,1800,35.1,50,50,no,alerts>20K (+1 tier),300
86,31.34626,34.64342,25,Gaza envelope,0.3457,0,trunk,90,6.0,7000,700,10.9,12,12,no,,240
87,32.2298,34.9505,טארק עבד אל חי,Standard,0.3432,37587,primary,80,6.67,8000,800,15.6,20,30,yes,alerts>20K (+1 tier),300
88,32.98496,35.44306,866,Standard,0.3367,7595,primary,60,5.0,8000,800,15.6,20,20,no,,300
89,32.86495,35.25615,805,Standard,0.3365,12660,primary,80,6.67,4000,400,7.8,12,12,no,,300
90,31.64134,34.73393,35,Standard,0.3335,6284,trunk,90,6.0,11000,1100,17.2,20,20,no,,240
91,31.67842,34.7653,40,Standard,0.3334,10448,trunk,90,7.5,22000,2200,42.9,50,50,no,,300
92,32.83423,35.21687,781,Standard,0.3306,13745,primary,80,6.67,8000,800,15.6,20,20,no,,300
93,31.49421,34.69139,ארץ הביתרונות,Gaza envelope,0.3264,827,primary,80,5.33,8000,800,12.5,20,20,no,,240
94,31.81131,35.02971,כביש ירושלים תל אביב,Standard,0.3254,35641,trunk,90,7.5,13000,1300,25.4,30,50,yes,alerts>20K (+1 tier),300
95,32.81752,35.07755,שדרות ההסתדרות,Standard,0.3124,10161,trunk,90,7.5,18000,1800,35.1,50,50,no,,300
96,32.89917,35.3715,804,Standard,0.3114,11097,primary,80,6.67,8000,800,15.6,20,20,no,,300
97,32.84198,35.26131,784,Standard,0.3075,12248,primary,80,6.67,4000,400,7.8,12,12,no,,300
98,31.69811,34.8157,כביש חוצה ישראל,Standard,0.3052,13052,motorway,110,9.17,8000,800,15.6,20,20,no,,300
99,32.98889,35.48344,89,Standard,0.3023,5165,trunk,90,7.5,9000,900,17.6,20,20,no,,300
100,32.86205,35.29968,הגליל,Standard,0.3005,10887,primary,80,6.67,8000,800,15.6,20,20,no,,300
101,31.32963,34.69991,25,Gaza envelope,0.2976,789,primary,90,7.5,8000,800,15.6,20,20,no,,300
102,32.79927,35.10271,העצמאות,Standard,0.2968,10828,primary,80,6.67,13000,1300,25.4,30,30,no,,300
103,31.78693,35.01387,38,Standard,0.2963,32451,trunk,90,7.5,14000,1400,27.3,30,50,yes,alerts>20K (+1 tier),300
104,32.79903,35.14345,כביש חוצה ישראל,Standard,0.2955,11380,motorway,100,8.33,8000,800,15.6,20,20,no,,300
105,32.92179,35.41765,806,Standard,0.2903,8325,primary,80,6.67,8000,800,15.6,20,20,no,,300
106,31.1493,34.60686,222,Gaza envelope,0.2897,0,primary,90,7.5,8000,800,15.6,20,20,no,,300
107,31.59895,34.75393,40,Gaza envelope,0.2889,3183,trunk,50,4.17,22000,2200,42.9,50,50,no,,300
108,33.00299,35.56556,90,Standard,0.2885,4889,trunk,90,7.5,9000,900,17.6,20,20,no,,300
109,32.8048,35.054,נתיבי המפרץ,Standard,0.2857,8806,motorway,90,7.5,35000,3500,68.2,50,50,no,,300
110,31.38327,34.72069,264,Gaza envelope,0.2776,0,primary,80,6.67,8000,800,15.6,20,20,no,,300
111,31.44208,34.73386,293,Gaza envelope,0.2751,273,primary,60,5.0,4000,400,7.8,12,12,no,,300
112,32.86207,35.33649,804,Standard,0.2746,9612,primary,80,6.67,8000,800,15.6,20,20,no,,300
113,31.62023,34.76931,35,Standard,0.2736,3110,trunk,90,7.5,11000,1100,21.4,30,30,no,,300
114,32.04668,34.78355,איילון דרום,Standard,0.2694,29500,motorway,90,7.5,13000,1300,25.4,30,50,yes,alerts>20K (+1 tier),300
115,31.77691,35.04577,395,Standard,0.2645,28965,primary,80,6.67,8000,800,15.6,20,30,yes,alerts>20K (+1 tier),300
116,32.83053,34.96672,ההגנה,Standard,0.2605,4723,trunk,70,5.83,8000,800,15.6,20,20,no,,300
117,32.80251,35.25323,784,Standard,0.2582,10861,primary,80,6.67,8000,800,15.6,20,20,no,,300
118,32.78423,35.07705,דשנים,Standard,0.2579,8227,primary,80,6.67,4000,400,7.8,12,12,no,,300
119,32.20918,34.83571,איילון דרום,Standard,0.2567,28110,primary,80,6.67,8000,800,15.6,20,30,yes,alerts>20K (+1 tier),300
120,32.96769,35.55054,90,Standard,0.2557,4889,trunk,90,7.5,9000,900,17.6,20,20,no,,300
121,31.42211,34.75408,264,Gaza envelope,0.2536,273,primary,90,7.5,8000,800,15.6,20,20,no,,300
122,32.7896,35.02673,4,Standard,0.2511,7107,primary,80,6.67,4000,400,7.8,12,12,no,,300
123,31.27117,34.73814,25,Gaza envelope,0.2474,789,trunk,90,7.5,7000,700,13.7,20,20,no,,300
124,31.50595,34.78295,כביש חוצה ישראל,Gaza envelope,0.2468,1591,motorway,110,9.17,8000,800,15.6,20,20,no,,300
125,31.82447,35.12793,הראל,Standard,0.2452,26858,primary,80,6.67,8000,800,15.6,20,30,yes,alerts>20K (+1 tier),300
126,32.94526,35.5093,89,Standard,0.2436,4665,trunk,90,7.5,9000,900,17.6,20,20,no,,300
127,31.52805,34.79036,כביש חוצה ישראל,Gaza envelope,0.2421,1839,motorway,110,9.17,8000,800,15.6,20,20,no,,300
128,31.44007,34.7721,כביש חוצה ישראל,Gaza envelope,0.2389,273,motorway,110,9.17,8000,800,15.6,20,20,no,,300
129,32.76244,35.11946,כביש חוצה ישראל,Standard,0.2389,9128,motorway,100,8.33,8000,800,15.6,20,20,no,,300
130,31.36963,34.77829,310,Gaza envelope,0.2314,1062,primary,90,7.5,4000,400,7.8,12,12,no,,300
131,32.88118,35.42518,807,Standard,0.2244,5902,primary,80,6.67,8000,800,15.6,20,20,no,,300
132,31.42223,34.78851,325,Gaza envelope,0.2235,524,primary,80,6.67,8000,800,15.6,20,20,no,,300
133,31.59898,34.81294,כביש חוצה ישראל,Gaza envelope,0.2229,2062,motorway,110,9.17,8000,800,15.6,20,20,no,,300
134,32.90877,35.473,65,Standard,0.2215,4652,trunk,80,6.67,24000,2400,46.8,50,50,no,,300
135,32.77882,34.99367,אבא חושי,Standard,0.2191,5476,primary,80,6.67,8000,800,15.6,20,20,no,,300
136,31.34575,34.79056,40,Gaza envelope,0.2168,1062,trunk,90,7.5,22000,2200,42.9,50,50,no,,300
137,31.25352,34.76485,שדרות דוד טוביהו,Gaza envelope,0.2168,789,trunk,70,5.83,8000,800,15.6,20,20,no,,300
138,32.79253,34.95915,כביש החוף,Standard,0.2145,4303,trunk,70,5.83,8000,800,15.6,20,20,no,,300
139,32.76785,35.22805,784,Standard,0.2118,8545,primary,80,6.67,8000,800,15.6,20,20,no,,300
140,32.74876,35.07656,דרך העמקים,Standard,0.2094,7226,trunk,90,7.5,20000,2000,39.0,50,50,no,,300
141,31.74651,35.07828,386,Standard,0.2074,22712,primary,80,6.67,8000,800,15.6,20,30,yes,alerts>20K (+1 tier),300
142,32.9254,35.54377,90,Standard,0.2044,3926,trunk,90,7.5,9000,900,17.6,20,20,no,,300
143,32.26886,34.84313,כביש החוף,Standard,0.1981,21692,motorway,90,7.5,18000,1800,35.1,50,50,no,alerts>20K (+1 tier),300
144,31.68525,34.90946,353,Standard,0.1961,10069,primary,80,6.67,8000,800,15.6,20,20,no,,300
145,32.84316,35.39883,806,Standard,0.1905,5206,primary,80,6.67,8000,800,15.6,20,20,no,,300
146,32.73444,35.03934,672,Standard,0.1883,6778,primary,80,6.67,8000,800,15.6,20,20,no,,300
147,31.37162,34.82684,כביש חוצה ישראל,Gaza envelope,0.1859,1062,motorway,110,9.17,8000,800,15.6,20,20,no,,300
148,32.77254,35.28274,77,Standard,0.1843,7336,trunk,100,8.33,19000,1900,37.0,50,50,no,,300
149,31.30181,34.81865,40,Gaza envelope,0.1819,789,trunk,100,8.33,22000,2200,42.9,50,50,no,,300
150,32.7239,35.09936,דרך העמקים,Standard,0.1808,7226,trunk,90,7.5,8000,800,15.6,20,20,no,,300
151,32.86626,35.45605,65,Standard,0.1801,4044,trunk,90,7.5,24000,2400,46.8,50,50,no,,300
152,31.07752,34.69373,222,Gaza envelope,0.1794,0,primary,90,7.5,8000,800,15.6,20,20,no,,300
153,31.79472,35.16272,כביש ירושלים תל אביב,Standard,0.1769,19378,trunk,90,7.5,13000,1300,25.4,30,30,no,,300
154,32.31287,35.01273,כביש חוצה ישראל,Standard,0.1737,19020,motorway,120,10.0,8000,800,15.6,20,20,no,,300
155,31.25093,34.81975,אליהו נאוי,Gaza envelope,0.169,1014,trunk,90,7.5,13000,1300,25.4,30,30,no,,300
156,31.63394,34.87066,353,Standard,0.1675,2064,primary,80,6.67,8000,800,15.6,20,20,no,,300
157,32.84591,35.43364,65,Standard,0.1672,3872,trunk,90,7.5,24000,2400,46.8,50,50,no,,300
158,32.72495,35.00839,721,Standard,0.1664,5880,primary,60,5.0,8000,800,15.6,20,20,no,,300
159,32.74563,35.25454,79,Standard,0.1627,6742,trunk,90,7.5,18000,1800,35.1,50,50,no,,300
160,32.72927,35.20629,77,Standard,0.1603,6486,trunk,100,8.33,19000,1900,37.0,50,50,no,,300
161,31.68712,34.94661,38,Standard,0.1585,9768,primary,80,6.67,8000,800,15.6,20,20,no,,300
162,31.76438,35.15297,קלמן יעקב מן,Standard,0.1563,17117,primary,50,4.17,8000,800,15.6,20,20,no,,300
163,31.71856,35.10578,375,Standard,0.1547,16937,primary,80,6.67,4000,400,7.8,12,12,no,,300
164,32.71169,35.13011,דרך העמקים,Standard,0.154,6095,trunk,90,7.5,8000,800,15.6,20,20,no,,300
165,31.60692,34.89303,35,Standard,0.1518,2563,trunk,90,7.5,11000,1100,21.4,30,30,no,,300
166,31.22568,34.82874,40,Gaza envelope,0.1511,1014,trunk,100,8.33,22000,2200,42.9,50,50,no,,300
168,32.70628,35.16708,דרך העמקים,Standard,0.1457,6506,trunk,90,7.5,8000,800,15.6,20,20,no,,300
169,32.80878,35.39957,65,Standard,0.1448,3998,trunk,90,7.5,24000,2400,46.8,50,50,no,,300
170,31.16752,34.80461,40,Gaza envelope,0.1423,1014,trunk,90,7.5,22000,2200,42.9,50,50,no,,300
171,31.39125,34.87917,358,Gaza envelope,0.1411,1276,primary,90,7.5,8000,800,15.6,20,20,no,,300
