rank,lat,lon,road,zone,composite_score,nearby_alerts_marapr2026,highway_type,road_speed_kmh,catchment_per_dir_km,aadt_normal,aadt_wartime,estimated_people_in_catchment,base_capacity,suggested_capacity,capacity_upgraded,upgrade_reason,alert_seconds
263,31.15683,34.995,80,Standard,0.004,442,trunk,90,7.5,8000,800,15.6,20,20,no,,300
264,32.60198,35.08464,672,Standard,0.004,440,primary,80,6.67,8000,800,15.6,20,20,no,,300
265,32.71782,35.43847,דרך המושבות,Standard,0.0036,232,primary,80,6.67,4000,400,7.8,12,12,no,,300
266,30.61281,34.85762,40,Gaza envelope,0.0026,284,trunk,80,6.67,22000,2200,42.9,50,50,no,,300
267,30.62719,34.80473,40,Gaza envelope,0.0026,284,trunk,90,7.5,22000,2200,42.9,50,50,no,,300
268,30.6616,34.80929,40,Gaza envelope,0.0026,284,trunk,90,7.5,22000,2200,42.9,50,50,no,,300
269,30.5665,34.90431,40,Standard,0.0026,284,trunk,80,6.67,22000,2200,42.9,50,50,no,,300
270,30.72685,34.77465,40,Gaza envelope,0.0026,284,trunk,90,7.5,22000,2200,42.9,50,50,no,,300
271,31.14917,35.22181,258,Standard,0.0026,283,primary,80,6.67,8000,800,15.6,20,20,no,,300
273,31.31343,35.38376,דרך ים המלח,Standard,0.0023,253,trunk,80,6.67,8000,800,15.6,20,20,no,,300
274,32.6126,35.54892,90,Standard,0.0021,232,trunk,80,6.67,9000,900,17.6,20,20,no,,300
275,32.70236,35.41203,65,Standard,0.0021,232,trunk,80,6.67,24000,2400,46.8,50,50,no,,300
276,32.66478,35.39644,65,Standard,0.0021,232,trunk,80,6.67,24000,2400,46.8,50,50,no,,300
277,32.59074,35.2921,60,Standard,0.0021,232,primary,80,6.67,16000,1600,31.2,50,50,no,,300
278,32.64101,35.32434,כביש עוקף עפולה מזרח,Standard,0.0021,232,trunk,90,7.5,8000,800,15.6,20,20,no,,300
279,32.56021,35.35378,675,Standard,0.0021,232,primary,80,6.67,8000,800,15.6,20,20,no,,300
280,32.5798,35.39895,716,Standard,0.0021,232,primary,80,6.67,4000,400,7.8,12,12,no,,300
281,32.63534,35.39574,716,Standard,0.0021,232,primary,80,6.67,8000,800,15.6,20,20,no,,300
282,32.71608,35.46579,דרך המושבות,Standard,0.0021,232,primary,80,6.67,4000,400,7.8,12,12,no,,300
283,31.12478,35.01084,25,Standard,0.0021,225,trunk,90,7.5,7000,700,13.7,20,20,no,,300
285,32.55248,35.0312,כביש חוצה ישראל,Standard,0.0,0,motorway,110,9.17,8000,800,15.6,20,20,no,,300
286,32.58001,35.04577,כביש חוצה ישראל,Standard,0.0,0,motorway,110,9.17,8000,800,15.6,20,20,no,,300
287,32.61043,34.92748,כביש החוף,Standard,0.0,0,motorway,110,9.17,8000,800,15.6,20,20,no,,300
288,32.58656,34.92636,כביש החוף,Standard,0.0,0,motorway,90,7.5,8000,800,15.6,20,20,no,,300
290,32.74157,35.56785,90,Standard,0.0,0,trunk,80,6.67,9000,900,17.6,20,20,no,,300
291,31.14138,35.36025,90,Standard,0.0,0,trunk,60,5.0,9000,900,17.6,20,20,no,,300
292,29.5441,34.95027,90,Standard,0.0,0,trunk,70,5.83,9000,900,17.6,20,20,no,,300
293,32.70484,35.58641,90,Standard,0.0,0,trunk,90,7.5,4000,400,7.8,12,12,no,,300
295,32.67837,35.5805,90,Standard,0.0,0,trunk,80,6.67,9000,900,17.6,20,20,no,,300
296,29.57788,34.96757,הערבה,Standard,0.0,0,trunk,90,7.5,8000,800,15.6,20,20,no,,300
297,29.60913,34.98382,הערבה,Standard,0.0,0,trunk,30,2.5,8000,800,15.6,20,20,no,,300
300,29.76344,35.01411,הערבה,Standard,0.0,0,trunk,90,7.5,8000,800,15.6,20,20,no,,300
303,30.28384,34.99975,40,Standard,0.0,0,trunk,80,6.67,22000,2200,42.9,50,50,no,,300
304,30.81704,34.75609,40,Gaza envelope,0.0,0,trunk,90,7.5,22000,2200,42.9,50,50,no,,300
305,30.78002,34.76921,40,Gaza envelope,0.0,0,trunk,90,7.5,22000,2200,42.9,50,50,no,,300
310,30.04781,35.01047,12,Standard,0.0,0,trunk,80,6.67,8000,800,15.6,20,20,no,,300
311,31.05359,35.03088,25,Standard,0.0,0,trunk,90,7.5,7000,700,13.7,20,20,no,,300
312,31.06829,35.00661,25,Standard,0.0,0,primary,90,7.5,4000,400,7.8,12,12,no,,300
317,29.83364,35.02882,הערבה,Standard,0.0,0,trunk,90,7.5,8000,800,15.6,20,20,no,,300
318,29.63183,34.88065,כביש הגבול המערבי,Gaza envelope,0.0,0,trunk,80,6.67,8000,800,15.6,20,20,no,,300
319,29.77754,35.05858,Jordan Valley Highway,Standard,0.0,0,trunk,100,8.33,24000,2400,46.8,50,50,no,,300
320,30.13754,35.138,הערבה,Standard,0.0,0,trunk,90,7.5,8000,800,15.6,20,20,no,,300
322,29.84431,34.83819,12,Gaza envelope,0.0,0,trunk,80,6.67,8000,800,15.6,20,20,no,,300
324,30.48576,34.93315,40,Standard,0.0,0,trunk,80,6.67,22000,2200,42.9,50,50,no,,300
330,29.94978,34.91844,12,Standard,0.0,0,trunk,80,6.67,8000,800,15.6,20,20,no,,300
331,29.96941,35.06507,הערבה,Standard,0.0,0,trunk,70,5.83,8000,800,15.6,20,20,no,,300
333,30.26971,35.13539,הערבה,Standard,0.0,0,trunk,90,7.5,8000,800,15.6,20,20,no,,300
334,29.73907,34.85312,כביש הגבול המערבי,Gaza envelope,0.0,0,trunk,80,6.67,8000,800,15.6,20,20,no,,300
335,31.03923,35.16624,25,Standard,0.0,0,trunk,90,7.5,7000,700,13.7,20,20,no,,300
336,29.70652,34.99732,הערבה,Standard,0.0,0,trunk,90,7.5,8000,800,15.6,20,20,no,,300
337,30.37038,34.96243,40,Standard,0.0,0,trunk,90,7.5,22000,2200,42.9,50,50,no,,300
338,30.16144,35.01743,40,Standard,0.0,0,trunk,90,7.5,22000,2200,42.9,50,50,no,,300
343,31.07234,35.3971,90,Standard,0.0,0,trunk,80,6.67,9000,900,17.6,20,20,no,,300
345,29.89666,35.06371,הערבה,Standard,0.0,0,trunk,90,7.5,8000,800,15.6,20,20,no,,300
346,30.05335,35.11309,הערבה,Standard,0.0,0,trunk,90,7.5,8000,800,15.6,20,20,no,,300
347,30.87527,34.78662,40,Gaza envelope,0.0,0,trunk,90,7.5,22000,2200,42.9,50,50,no,,300
350,32.5894,34.98374,ואדי מילק,Standard,0.0,0,trunk,100,8.33,8000,800,15.6,20,20,no,,300
357,29.90423,34.86291,12,Gaza envelope,0.0,0,trunk,80,6.67,8000,800,15.6,20,20,no,,300
358,30.00362,34.9552,12,Standard,0.0,0,trunk,80,6.67,8000,800,15.6,20,20,no,,300
361,29.65814,34.99038,הערבה,Standard,0.0,0,trunk,90,7.5,8000,800,15.6,20,20,no,,300
363,30.20251,35.13549,הערבה,Standard,0.0,0,trunk,90,7.5,8000,800,15.6,20,20,no,,300
365,29.72945,35.03561,Jordan Valley Highway,Standard,0.0,0,trunk,100,8.33,24000,2400,46.8,50,50,no,,300
366,30.29091,35.09632,13,Standard,0.0,0,trunk,90,7.5,8000,800,15.6,20,20,no,,300
367,30.9957,34.92368,204,Standard,0.0,0,primary,80,6.67,8000,800,15.6,20,20,no,,300
368,32.57236,35.07668,672,Standard,0.0,0,primary,80,6.67,8000,800,15.6,20,20,no,,300
369,32.56674,35.26239,675,Standard,0.0,0,primary,80,6.67,8000,800,15.6,20,20,no,,300
370,30.91157,34.84372,204,Gaza envelope,0.0,0,primary,80,6.67,8000,800,15.6,20,20,no,,300
371,29.55534,34.91334,דרך החוגגים,Standard,0.0,0,trunk,80,6.67,8000,800,15.6,20,20,no,,300
374,32.59429,35.18035,66,Standard,0.0,0,trunk,60,5.0,8000,800,15.6,20,20,no,,300
375,31.00401,35.27512,מעלה תמר,Standard,0.0,0,trunk,80,6.67,8000,800,15.6,20,20,no,,300
377,30.92485,35.02487,206,Standard,0.0,0,primary,80,6.67,8000,800,15.6,20,20,no,,300
378,32.71419,35.54642,767,Standard,0.0,0,primary,80,6.67,8000,800,15.6,20,20,no,,300
380,30.93723,35.11694,227,Standard,0.0,0,primary,80,6.67,8000,800,15.6,20,20,no,,300
381,30.95248,35.01187,225,Standard,0.0,0,primary,50,4.17,4000,400,7.8,12,12,no,,300
382,31.01151,35.07848,206,Standard,0.0,0,primary,80,6.67,8000,800,15.6,20,20,no,,300
383,30.88774,35.13939,227,Standard,0.0,0,primary,80,6.67,8000,800,15.6,20,20,no,,300
384,30.9633,35.04934,227,Standard,0.0,0,primary,80,6.67,8000,800,15.6,20,20,no,,300
385,31.08317,35.21114,258,Standard,0.0,0,primary,80,6.67,8000,800,15.6,20,20,no,,300
